,가구인테리어/잡화_고가,가구인테리어/잡화_저가,가구인테리어/잡화_중가,가전/레저취미/멀티샵_고가,가전/레저취미/멀티샵_저가,가전/레저취미/멀티샵_중가,교육문화/아동_고가,교육문화/아동_저가,교육문화/아동_중가,식품/생활_고가,식품/생활_저가,식품/생활_중가,의류/이미용_고가,의류/이미용_저가,의류/이미용_중가,침구/주방_고가,침구/주방_저가,침구/주방_중가,총 평균 구매주기
1,,,22.333333333333332,-1,,-1,,,,18.666666666666668,-1,5.833333333333333,-1,,7.454545454545454,34.0,,,3.4166666666666665
2,,8.428571428571429,,7.0,,,,,54.0,12.714285714285714,-1,5.235294117647059,12.0,-1,10.857142857142858,27.333333333333332,,-1,2.696969696969697
3,,6.0,,,-1,,,,,17.0,2.1315789473684212,3.4782608695652173,,,,,,,1.8409090909090908
4,,16.8,-1,,-1,63.0,,,,19.25,11.8,2.870967741935484,-1,27.333333333333332,11.125,-1,,,2.5428571428571427
6,-1,24.5,67.0,,,,,-1,,8.666666666666666,2.7,1.6666666666666667,15.6,12.333333333333334,8.125,,61.0,-1,1.4444444444444444
7,15.0,33.0,,-1,-1,52.0,,,,15.4,21.0,3.44,11.4,,27.666666666666668,7.0,,,2.5428571428571427
8,1.0,12.75,,,,2.0,,,,3.36,14.0,1.9361702127659575,14.5,,6.0,,,,1.82
9,58.0,22.5,-1,,,-1,,,,10.5,21.5,4.0,8.666666666666666,,9.25,-1,,,2.606060606060606
10,,-1,,,-1,,,,,8.3,1.40625,1.3636363636363635,15.0,28.0,36.0,,21.0,-1,1.2328767123287672
11,,-1,,,,,,,-1,27.0,-1,5.333333333333333,15.0,,,,,,4.833333333333333
12,,-1,,,,,,,,26.666666666666668,5.571428571428571,3.7916666666666665,10.0,55.0,-1,,-1,,2.3947368421052633
13,,27.5,,,,,,,,7.625,2.0697674418604652,1.625,,11.0,-1,-1,29.0,-1,1.5689655172413792
14,-1,45.0,-1,,,,,,,5.125,5.6,1.9545454545454546,11.0,,10.571428571428571,,,,1.6862745098039216
15,,13.8,-1,,,,,,,8.88888888888889,3.869565217391304,2.0454545454545454,45.0,23.666666666666668,,-1,,-1,1.5689655172413792
16,,18.666666666666668,,,,,,,,9.75,-1,3.9565217391304346,-1,,-1,,,-1,3.7916666666666665
17,-1,14.4,29.0,,,,,,,5.375,19.333333333333332,2.6176470588235294,21.333333333333332,,18.666666666666668,32.0,-1,,2.0454545454545454
18,,17.0,,,,5.5,,,,8.5,-1,4.666666666666667,9.0,,7.0,,,,3.111111111111111
19,,16.8,,-1,,7.0,,,,12.6,,4.421052631578948,16.25,-1,7.0,-1,,,3.652173913043478
20,,12.333333333333334,,1.0,,-1,,,,4.833333333333333,,3.3461538461538463,16.666666666666668,,6.0,,,,2.806451612903226
21,,,,,41.0,,,9.0,5.0,4.8,2.3333333333333335,1.7843137254901962,,19.0,-1,,-1,1.0,1.6851851851851851
22,,,,,,,,,,-1,,1.9333333333333333,16.0,,,,,,1.9333333333333333
23,-1,34.0,23.333333333333332,5.75,,12.0,,,,29.5,,12.166666666666666,21.333333333333332,,6.0,6.0,,29.5,4.625
24,,30.0,,,21.5,,,,-1,21.666666666666668,4.2105263157894735,3.3076923076923075,,12.166666666666666,-1,,-1,59.0,2.5
25,,17.0,-1,,-1,,,,,-1,21.0,6.833333333333333,-1,,21.666666666666668,,,,5.6
26,,16.8,-1,20.333333333333332,,3.0,,,,14.0,22.0,3.739130434782609,7.0,,7.3,-1,,,2.696969696969697
27,-1,,-1,,,-1,,,,6.916666666666667,,3.4615384615384617,25.0,,9.75,,,,2.903225806451613
28,,,,,,,,,,24.5,2.2777777777777777,2.1219512195121952,22.0,19.25,,,-1,23.0,1.851063829787234
29,,22.5,19.0,7.5,,21.0,,,,13.0,10.571428571428571,6.75,6.75,16.666666666666668,5.142857142857143,-1,-1,-1,2.870967741935484
30,,11.333333333333334,,,,-1,,,,12.6,7.166666666666667,2.3684210526315788,7.090909090909091,,10.571428571428571,-1,12.285714285714286,-1,2.142857142857143
31,,10.714285714285714,12.5,,,,,,11.0,4.4375,-1,2.388888888888889,,,19.25,,,,2.230769230769231
32,,-1,56.0,,31.0,,,,,11.571428571428571,4.555555555555555,1.421875,,15.8,,,60.0,-1,1.338235294117647
33,,,,,,,,,,11.714285714285714,2.289473684210526,1.7755102040816326,,18.25,,,,,1.7058823529411764
34,,39.0,,,,,,,,29.0,,7.909090909090909,2.0,,,43.5,,88.0,7.333333333333333
35,,28.0,14.25,-1,,,,,,5.714285714285714,5.6,3.8095238095238093,-1,,19.5,11.0,-1,,3.4782608695652173
36,,26.333333333333332,,,,-1,,,,5.466666666666667,10.0,2.870967741935484,25.0,,11.857142857142858,-1,,16.5,2.870967741935484
37,,15.75,34.0,17.5,-1,,,,,9.875,4.5,2.78125,11.8,,,,-1,2.0,2.4054054054054053
38,-1,7.0,29.0,,,-1,,23.0,14.25,4.8,2.097560975609756,1.836734693877551,2.0,12.666666666666666,20.5,23.0,-1,,1.5517241379310345
39,,35.5,1.0,,,,,,,23.666666666666668,,4.2,13.5,,-1,,,-1,3.230769230769231
40,,37.0,14.0,8.5,,30.5,,,,8.166666666666666,19.25,4.722222222222222,12.0,12.0,14.0,22.0,12.0,57.0,2.676470588235294
41,,23.5,,,,,,,,6.6,7.454545454545454,2.2051282051282053,-1,21.0,,,-1,,2.0476190476190474
42,,-1,,,,,,28.0,,6.142857142857143,2.289473684210526,1.9772727272727273,,8.3,-1,,35.5,,1.78
43,,-1,,,,,,,,8.25,2.263157894736842,2.15,,25.5,,,,-1,1.8297872340425532
44,41.0,-1,,,,,,,,10.5,5.117647058823529,2.116279069767442,17.0,,9.75,,,,1.82
45,64.0,,,,,,,,,20.0,40.0,2.8125,7.7,13.0,36.0,,,,2.25
46,6.0,16.25,-1,-1,,19.0,,,,9.88888888888889,-1,2.6470588235294117,55.0,,14.5,-1,,,1.9782608695652173
47,,,,,-1,-1,,-1,,8.142857142857142,5.666666666666667,4.857142857142857,,13.0,,-1,-1,,3.7777777777777777
48,38.5,9.571428571428571,34.0,,-1,,,-1,,7.0,16.0,3.2916666666666665,11.666666666666666,,19.75,64.0,-1,-1,2.2564102564102564
49,-1,35.0,15.0,13.0,,,,,,6.384615384615385,,3.4615384615384617,15.6,,35.0,6.0,,-1,2.4594594594594597
50,,8.75,,,-1,3.0,-1,69.0,16.6,6.7272727272727275,4.666666666666667,1.7843137254901962,-1,4.5,27.0,-1,,26.0,1.5423728813559323
51,,72.0,,,,74.0,,,-1,5.666666666666667,5.7272727272727275,2.4705882352941178,-1,8.833333333333334,-1,,11.0,12.0,2.0476190476190474
52,-1,23.333333333333332,,,,,,,-1,12.0,-1,1.9545454545454546,9.166666666666666,,7.0,-1,,,1.8936170212765957
53,,,,27.5,,-1,,,,22.0,4.277777777777778,2.903225806451613,5.0,,-1,,,,2.1951219512195124
54,,8.333333333333334,,,,,,,,-1,,2.6,,,,,,,2.6
55,,24.5,-1,,,,,,,10.75,2.3783783783783785,5.125,,11.0,,,23.666666666666668,,2.119047619047619
56,-1,39.5,,,,,,,-1,10.375,,3.4615384615384617,29.0,,2.0,,,,3.2142857142857144
57,,-1,,,-1,,,,,15.5,1.6981132075471699,2.6470588235294117,,18.5,,,23.5,,1.6981132075471699
58,1.0,14.0,,,,,,,25.5,9.625,,3.95,,,8.625,,,,2.8125
59,,14.0,,,,,,,,40.0,,3.0,21.333333333333332,,50.0,,,,2.896551724137931
60,,11.0,,,-1,21.0,,73.0,-1,7.333333333333333,4.095238095238095,1.934782608695652,27.5,34.0,15.5,-1,14.0,-1,1.6071428571428572
61,3.0,50.0,,,-1,-1,,,,4.833333333333333,2.5806451612903225,1.951219512195122,16.666666666666668,17.5,11.6,-1,46.0,37.0,1.8604651162790697
62,-1,4.25,-1,,,12.0,,,-1,17.0,4.5,2.4705882352941178,-1,,,,-1,11.5,2.1219512195121952
63,,14.5,-1,,,,,,,10.125,,2.25,-1,,-1,,,,2.0454545454545454
64,,,,,,,,,,,23.0,20.0,,-1,,,,,13.333333333333334
65,,,,,,,,-1,1.0,3.4,12.833333333333334,5.25,20.0,-1,,,-1,-1,3.8636363636363638
66,,31.0,-1,,1.0,,,,,5.5,2.5,1.9090909090909092,,-1,22.75,,-1,,1.8571428571428572
67,,,,,,,,,,8.7,2.0681818181818183,1.8571428571428572,,8.222222222222221,,,,,1.7169811320754718
68,,,2.0238095238095237,-1,,1.0,-1,,4.333333333333333,6.153846153846154,8.88888888888889,6.153846153846154,-1,-1,3.5,,,12.0,1.5454545454545454
69,,7.583333333333333,,,-1,,,,,4.944444444444445,1.378787878787879,1.338235294117647,,2.0,,,20.0,,1.2816901408450705
70,25.666666666666668,-1,,,,3.0,,,,,-1,6.857142857142857,,,-1,,,,6.3076923076923075
71,,-1,,,,,,,,7.0,3.3333333333333335,2.65625,,-1,,,-1,,2.5
72,,,-1,,,,,-1,-1,8.25,3.6818181818181817,2.5757575757575757,,13.8,32.0,,18.0,,2.236842105263158
73,7.363636363636363,42.0,,8.6,,5.666666666666667,,,,31.0,-1,9.75,44.0,,10.5,27.0,,,4.190476190476191
74,,,-1,,,,,,,-1,18.333333333333332,6.0,-1,-1,13.2,-1,,-1,6.0
75,,16.8,,,,,,,,2.0526315789473686,32.0,2.022222222222222,-1,,,,,,1.5964912280701755
76,,52.0,,,,-1,,,-1,6.7,13.333333333333334,2.3513513513513513,10.25,,11.5,7.0,,38.0,2.1219512195121952
77,3.5,,-1,,,-1,,,,26.333333333333332,9.333333333333334,7.416666666666667,24.0,7.0,9.2,,,,5.933333333333334
78,8.833333333333334,18.333333333333332,54.0,13.666666666666666,,13.0,,,,10.833333333333334,32.0,3.590909090909091,5.9,,14.8,4.0,,-1,3.16
79,,-1,,,12.0,,,,,7.090909090909091,4.2631578947368425,2.5454545454545454,,-1,20.0,,-1,,2.5
80,,9.0,,,,,,,,6.75,1.8571428571428572,2.3947368421052633,,-1,,,36.0,,1.4444444444444444
81,31.0,-1,20.0,,,7.0,,,,9.6,1.0,2.142857142857143,8.444444444444445,,1.0,,-1,1.0,1.9148936170212767
82,16.25,-1,-1,,-1,,,,-1,23.0,7.7,2.757575757575758,7.9,11.0,12.25,-1,56.0,,1.82
83,,31.0,,10.0,-1,-1,,,,6.454545454545454,,1.7906976744186047,3.9285714285714284,,7.6,26.0,,-1,1.54
84,-1,-1,82.0,,,-1,,,7.0,28.0,,16.4,,,1.0,-1,,6.0,10.25
85,,7.666666666666667,,,,-1,,,,4.1,,1.9782608695652173,3.0,,-1,-1,,,1.75
86,,28.0,21.5,-1,,-1,,,,6.0,4.0,2.5454545454545454,29.0,12.75,16.0,-1,18.5,37.0,2.3333333333333335
