CUSTNO,Frequency_가구인테리어/잡화_고가,Frequency_가구인테리어/잡화_저가,Frequency_가구인테리어/잡화_중가,Frequency_가전/레저취미/멀티샵_고가,Frequency_가전/레저취미/멀티샵_저가,Frequency_가전/레저취미/멀티샵_중가,Frequency_교육문화/아동_고가,Frequency_교육문화/아동_저가,Frequency_교육문화/아동_중가,Frequency_식품/생활_고가,Frequency_식품/생활_저가,Frequency_식품/생활_중가,Frequency_의류/이미용_고가,Frequency_의류/이미용_저가,Frequency_의류/이미용_중가,Frequency_침구/주방_고가,Frequency_침구/주방_저가,Frequency_침구/주방_중가
1,1.173185802166694,6.297035631250175,8.03006649320613,1.2937620407892114,0.0,3.5209962336758505,0.0,0.0,0.0,15.456865547572798,15.692431046999085,89.80910179342563,5.168997534065781,0.0,20.553509221609907,4.616752348189092,1.942734038828592,8.588741204065677
2,4.692743208666776,11.544565323958654,3.441457068516913,7.762572244735269,3.224586342971869,0.0,0.0,0.0,8.581210047136308,18.54823865708736,0.0,66.0664656871177,21.70978964307628,0.0,2.283723246845545,5.770940435236365,0.0,0.0
3,0.0,3.1485178156250875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.03045770317152,71.13902074639586,15.484327895418213,0.0,0.0,0.0,0.0,0.0,0.0
4,0.0,3.1485178156250875,0.0,0.0,0.0,1.1736654112252836,0.0,0.0,0.0,6.182746219029119,9.41545862819945,96.00283295159292,1.0337995068131562,1.067023423608848,7.993031363959408,1.154188087047273,0.0,0.0
6,0.0,7.346541569791871,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.243661625372159,91.0161000725947,116.6486034788172,4.135198027252625,6.402140541653088,3.4255848702683176,4.616752348189092,2.914101058242888,2.1471853010164192
7,0.0,2.099011877083392,0.0,1.2937620407892114,0.0,3.5209962336758505,0.0,0.8298475152226036,0.0,11.33503473488672,12.553944837599268,51.6144263180607,6.202797040878938,1.067023423608848,13.70233948107327,1.154188087047273,0.971367019414296,2.1471853010164192
8,2.346371604333388,8.396047508333567,0.0,2.587524081578423,0.0,1.1736654112252836,0.0,0.0,0.0,55.64471597126207,0.0,194.07024295590824,7.236596547692094,0.0,5.709308117113863,1.154188087047273,0.0,0.0
9,3.5195574065000814,0.0,2.2943047123446085,7.762572244735269,0.0,4.694661644901134,0.0,0.0,0.0,0.0,6.276972418799634,20.64577052722428,11.37179457494472,0.0,21.69537084503268,9.233504696378183,0.0,0.0
10,0.0,2.099011877083392,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.456865547572798,233.2941415653864,222.97432169402225,3.101398520439469,2.134046847217696,4.56744649369109,0.0,2.914101058242888,1.0735926505082096
11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.145302511784077,9.274119328543678,12.553944837599268,49.549849265338274,6.202797040878938,0.0,0.0,0.0,0.0,1.0735926505082096
