CUSTNO,Monetary_의류/이미용_저가_증감여부_q2_q1,Monetary_의류/이미용_저가_증감여부_q3_q2,Monetary_의류/이미용_저가_증감여부_q4_q3,Monetary_의류/이미용_저가_증감여부_q5_q4,Monetary_의류/이미용_저가_증감여부_q6_q5,Monetary_의류/이미용_저가_증감여부_q7_q6,Monetary_의류/이미용_저가_증감여부_q8_q7,Monetary_의류/이미용_저가_q2_q1_로그변환,Monetary_의류/이미용_저가_q3_q2_로그변환,Monetary_의류/이미용_저가_q4_q3_로그변환,Monetary_의류/이미용_저가_q5_q4_로그변환,Monetary_의류/이미용_저가_q6_q5_로그변환,Monetary_의류/이미용_저가_q7_q6_로그변환,Monetary_의류/이미용_저가_q8_q7_로그변환
1,0,0,4,1,0,0,0,0.0,0.0,9.561606240802773,-9.561606240802773,0.0,0.0,0.0
2,0,0,0,0,4,1,1,0.0,0.0,0.0,0.0,12.06150986079549,-11.76693982163307,-10.695621873899833
3,0,0,0,0,0,0,4,0.0,0.0,0.0,0.0,0.0,0.0,8.855792216128075
4,2,4,2,1,4,4,2,-8.315615119586235,10.755299805416202,-8.046479278813223,-10.832145396943954,9.781655041066124,11.353309478954005,-10.31593072881344
6,3,2,3,1,3,3,2,10.130509183901637,-6.250215915958075,10.413303607104144,-11.384159324433178,9.55318895629637,11.297143680550274,-9.887128973379669
7,0,4,1,4,1,0,0,0.0,10.231329646141283,-10.231329646141283,10.05111949093259,-10.05111949093259,0.0,0.0
8,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,1,0,4,3,4,1,2,-8.943378016456068,0.0,8.935823958076961,8.209026992915184,10.703901276863782,-10.528304738633274,-8.202857044519218
11,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,0,4,1,4,2,3,3,0.0,10.566166936297082,-10.566166936297082,9.311062611426832,-6.931271565726953,9.305122102397407,7.21703981741664
13,4,3,2,4,3,2,2,10.616826573650338,8.596673571514714,-10.395472766052421,10.951438548007053,-7.644707074929731,-9.750876450235552,-9.59657219336176
14,4,1,4,1,0,0,0,11.213563841548563,-11.407263072162122,7.7182613823636705,-7.7182613823636705,0.0,0.0,0.0
15,4,4,1,4,2,2,2,9.907120851043086,9.897694224505795,-10.30811706317408,10.34381917302751,-7.975685591740152,-7.441040051026497,-8.287052939801486
16,0,4,1,4,1,0,0,0.0,8.98620299091266,-8.98620299091266,9.271845515003589,-9.271845515003589,0.0,0.0
17,1,4,1,0,0,0,4,-9.154199212595806,10.416481995236632,-10.416481995236632,0.0,0.0,0.0,13.396173430437987
18,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,0,0,0,0,0,4,1,0.0,0.0,0.0,0.0,0.0,9.933507700213953,-9.933507700213953
20,0,0,0,0,4,1,4,0.0,0.0,0.0,0.0,9.162735437314357,-9.162735437314357,7.7182613823636705
21,4,4,1,4,2,2,2,9.882411017425168,12.204346531043257,-11.94146254593081,12.416681351092624,-11.118143630623951,-10.749626633332781,-10.98260927805642
22,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,4,1,4,2,1,4,3,12.039155299959733,-11.939356035729565,12.991233146650353,-11.653595609183215,-12.732199400651563,12.105542395090437,11.404793325634996
25,4,2,1,4,2,1,0,9.396328439168705,-7.855928106502302,-9.155259856988655,11.166382472241763,-9.158400279218895,-11.02222895642551,0.0
26,0,0,4,3,1,1,0,0.0,0.0,9.335310988767196,9.090907049461688,-9.523766866235134,-8.783294218572452,0.0
27,4,1,0,0,0,0,0,10.146127160087836,-10.146127160087836,0.0,0.0,0.0,0.0,0.0
28,3,1,4,2,1,2,4,9.999652219960744,-10.76917181503178,12.13028705690294,-9.817883033468348,-11.59278181919793,-10.310935284898308,11.786950229707516
29,1,4,4,4,1,4,1,-9.022807729296524,8.982448317282195,10.156292552925086,11.005732467535802,-11.14508434995404,10.344122354412743,-10.567898303101039
30,2,3,2,1,4,1,0,-5.597893170551982,7.367254454573904,-7.860371669050058,-7.556400645955361,7.980075142153733,-8.415637557167024,0.0
31,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,1,4,4,3,4,2,3,-11.895411881889386,10.487841207816187,12.576091934147758,10.862156889945243,13.164323099852934,-12.798577660897946,12.519988031383269
33,1,2,1,4,3,4,2,-11.288685367622971,-9.552374826767881,-10.164215373975036,10.070676912726682,8.941769189227639,11.131328572859404,-10.029067784450229
34,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35,1,1,3,4,1,0,4,-11.121405933210964,-10.770325756005647,9.459763358447216,10.51477530052697,-11.029625607615172,0.0,10.661225880229127
36,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38,1,4,1,3,2,2,1,-12.084235623336376,12.197365869015611,-12.289106450922713,10.340837459887373,-11.25149864744874,-9.642355479008172,-10.483905383114932
39,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40,4,1,4,4,2,3,2,10.2643872153518,-10.46213350912815,8.976404004508337,9.483563190244148,-9.221865910758309,8.64379928115375,-8.826514280085949
41,1,4,1,4,1,4,1,-9.526466593545063,9.062179742412784,-9.062179742412784,10.211795469390289,-9.85182384679001,10.553438405375745,-10.748032434000086
42,4,1,2,4,2,1,2,13.02556861645444,-12.857169724724885,-11.53811599990712,13.02866367894994,-12.151022839602438,-12.166175630037515,-11.01421242081468
