CUSTNO,Recency_가구인테리어/잡화_고가,Recency_가구인테리어/잡화_저가,Recency_가구인테리어/잡화_중가,Recency_가전/레저취미/멀티샵_고가,Recency_가전/레저취미/멀티샵_저가,Recency_가전/레저취미/멀티샵_중가,Recency_교육문화/아동_고가,Recency_교육문화/아동_저가,Recency_교육문화/아동_중가,Recency_식품/생활_고가,Recency_식품/생활_저가,Recency_식품/생활_중가,Recency_의류/이미용_고가,Recency_의류/이미용_저가,Recency_의류/이미용_중가,Recency_침구/주방_고가,Recency_침구/주방_저가,Recency_침구/주방_중가
1,-2847,83,17,47,-2847,83,-2847,-2847,-2847,8,14,1,33,14,1,2,14,2
2,47,2,-2847,40,71,-2847,-2847,-2847,-2847,1,71,1,22,-2847,33,60,-2847,56
3,-2847,3,-2847,-2847,-2847,-2847,-2847,-2847,-2847,32,2,2,-2847,-2847,-2847,-2847,-2847,-2847
4,-2847,1,-2847,-2847,-2847,51,-2847,-2847,-2847,50,1,1,31,11,28,63,11,51
6,-2847,37,-2847,-2847,-2847,-2847,-2847,-2847,-2847,21,2,2,10,17,17,77,68,17
7,41,31,62,78,-2847,33,-2847,62,-2847,10,11,3,41,-2847,19,7,-2847,62
8,-2847,11,19,74,-2847,11,-2847,-2847,-2847,2,-2847,2,19,-2847,19,35,-2847,19
9,13,48,-2847,-2847,-2847,25,-2847,-2847,-2847,55,35,8,12,-2847,8,31,-2847,-2847
10,-2847,89,-2847,-2847,43,-2847,-2847,-2847,-2847,5,5,5,-2847,75,-2847,-2847,5,-2847
11,20,62,-2847,12,-2847,12,-2847,-2847,12,2,91,1,8,-2847,18,32,-2847,-2847
12,-2847,59,-2847,-2847,-2847,-2847,-2847,-2847,-2847,87,13,16,-2847,-2847,-2847,-2847,-2847,26
13,-2847,5,-2847,-2847,-2847,82,-2847,-2847,-2847,5,2,2,53,13,53,-2847,35,-2847
14,75,16,28,23,-2847,90,-2847,-2847,-2847,1,9,1,30,68,10,-2847,89,-2847
15,-2847,4,12,-2847,-2847,49,-2847,-2847,-2847,1,1,1,71,16,70,87,-2847,-2847
16,-2847,41,-2847,-2847,-2847,-2847,-2847,-2847,-2847,6,-2847,2,6,-2847,92,-2847,-2847,27
17,-2847,7,11,-2847,-2847,-2847,-2847,-2847,-2847,7,14,4,12,-2847,24,7,-2847,7
18,-2847,11,-2847,-2847,-2847,-2847,-2847,-2847,-2847,9,-2847,4,47,-2847,-2847,-2847,-2847,-2847
19,-2847,30,-2847,41,-2847,-2847,-2847,-2847,-2847,8,35,1,5,-2847,-2847,-2847,-2847,-2847
20,-2847,18,-2847,-2847,-2847,-2847,-2847,-2847,-2847,6,-2847,6,-2847,-2847,-2847,-2847,-2847,41
21,-2847,-2847,-2847,-2847,17,-2847,11,89,17,6,1,1,-2847,14,31,-2847,17,-2847
22,62,-2847,83,-2847,-2847,-2847,-2847,-2847,-2847,4,-2847,4,8,-2847,-2847,42,-2847,-2847
23,35,13,34,41,-2847,32,-2847,32,-2847,14,19,9,13,-2847,41,-2847,36,41
24,-2847,46,-2847,-2847,17,-2847,-2847,-2847,-2847,-2847,5,1,-2847,7,-2847,-2847,11,-2847
25,4,14,-2847,-2847,-2847,90,-2847,-2847,-2847,34,20,1,47,-2847,-2847,-2847,-2847,-2847
26,27,19,-2847,75,-2847,23,-2847,-2847,23,6,23,1,8,11,5,1,-2847,46
27,-2847,67,-2847,90,-2847,4,-2847,-2847,-2847,1,90,1,12,-2847,68,-2847,90,-2847
28,-2847,78,-2847,-2847,-2847,-2847,-2847,-2847,-2847,20,3,3,-2847,17,-2847,-2847,-2847,70
