CUSTNO,Recency_가구인테리어/잡화_고가,Recency_가구인테리어/잡화_저가,Recency_가구인테리어/잡화_중가,Recency_가전/레저취미/멀티샵_고가,Recency_가전/레저취미/멀티샵_저가,Recency_가전/레저취미/멀티샵_중가,Recency_교육문화/아동_고가,Recency_교육문화/아동_저가,Recency_교육문화/아동_중가,Recency_식품/생활_고가,Recency_식품/생활_저가,Recency_식품/생활_중가,Recency_의류/이미용_고가,Recency_의류/이미용_저가,Recency_의류/이미용_중가,Recency_침구/주방_고가,Recency_침구/주방_저가,Recency_침구/주방_중가
1,-2574,-2574,13,76,-2574,13,-2574,-2574,-2574,10,57,10,42,-2574,9,42,-2574,-2574
2,-2574,18,-2574,55,-2574,-2574,-2574,-2574,18,2,91,2,7,91,14,2,-2574,83
3,-2574,57,-2574,-2574,70,-2574,-2574,-2574,-2574,11,9,10,-2574,-2574,-2574,-2574,-2574,-2574
4,-2574,1,5,-2574,62,27,-2574,-2574,-2574,6,27,1,90,5,1,90,-2574,-2574
6,23,22,13,-2574,-2574,-2574,-2574,64,-2574,11,11,2,1,10,13,-2574,25,86
7,64,26,-2574,53,26,27,-2574,-2574,-2574,3,3,3,29,-2574,6,6,-2574,-2574
8,89,39,-2574,-2574,-2574,86,-2574,-2574,-2574,6,44,1,32,-2574,54,-2574,-2574,-2574
9,27,45,89,-2574,-2574,89,-2574,-2574,-2574,6,14,6,6,-2574,15,92,-2574,-2574
10,-2574,20,-2574,-2574,26,-2574,-2574,-2574,-2574,6,2,2,18,19,18,-2574,19,54
11,-2574,38,-2574,-2574,-2574,-2574,-2574,-2574,74,7,1,1,14,-2574,-2574,-2574,-2574,-2574
12,-2574,34,-2574,-2574,-2574,-2574,-2574,-2574,-2574,7,5,1,57,10,71,-2574,59,-2574
13,-2574,12,-2574,-2574,-2574,-2574,-2574,-2574,-2574,28,3,1,-2574,5,53,89,8,49
14,30,13,54,-2574,-2574,-2574,-2574,-2574,-2574,43,6,5,52,-2574,12,-2574,-2574,-2574
15,-2574,8,52,-2574,-2574,-2574,-2574,-2574,-2574,1,3,2,44,6,-2574,1,-2574,9
16,-2574,22,-2574,-2574,-2574,-2574,-2574,-2574,-2574,12,68,1,22,-2574,49,-2574,-2574,84
17,54,17,34,-2574,-2574,-2574,-2574,-2574,-2574,2,33,2,18,-2574,12,37,76,-2574
18,-2574,24,-2574,-2574,-2574,60,-2574,-2574,-2574,24,22,3,60,-2574,62,-2574,-2574,-2574
19,-2574,8,-2574,75,-2574,75,-2574,-2574,-2574,19,-2574,8,10,50,47,89,-2574,-2574
20,-2574,16,-2574,36,-2574,17,-2574,-2574,-2574,3,-2574,3,40,-2574,33,-2574,-2574,-2574
21,-2574,-2574,-2574,-2574,7,-2574,-2574,31,31,13,1,1,-2574,28,75,-2574,88,87
22,-2574,-2574,-2574,-2574,-2574,-2574,-2574,-2574,-2574,11,-2574,1,11,-2574,-2574,-2574,-2574,-2574
23,15,19,19,19,-2574,53,-2574,-2574,-2574,16,-2574,16,25,-2574,63,19,-2574,30
24,-2574,20,-2574,-2574,2,-2574,-2574,-2574,88,27,11,5,-2574,15,74,-2574,76,17
25,-2574,13,36,-2574,62,-2574,-2574,-2574,-2574,78,36,8,43,-2574,27,-2574,-2574,-2574
26,-2574,6,48,13,-2574,55,-2574,-2574,-2574,13,3,6,46,-2574,8,79,-2574,-2574
27,88,-2574,55,-2574,-2574,84,-2574,-2574,-2574,8,-2574,2,13,-2574,12,-2574,-2574,-2574
28,-2574,-2574,-2574,-2574,-2574,-2574,-2574,-2574,-2574,14,5,5,29,14,-2574,-2574,7,24
29,-2574,46,9,32,-2574,19,-2574,-2574,-2574,26,9,2,19,33,6,55,76,85
30,-2574,17,-2574,-2574,-2574,26,-2574,-2574,-2574,2,6,2,6,-2574,15,27,6,54
31,-2574,6,53,-2574,-2574,-2574,-2574,-2574,2,17,4,3,-2574,-2574,11,-2574,-2574,-2574
32,-2574,86,25,-2574,6,-2574,-2574,-2574,-2574,9,8,1,-2574,13,-2574,-2574,21,58
33,-2574,-2574,-2574,-2574,-2574,-2574,-2574,-2574,-2574,8,3,3,-2574,17,-2574,-2574,-2574,-2574
34,-2574,50,-2574,-2574,-2574,-2574,-2574,-2574,-2574,2,-2574,2,86,-2574,-2574,2,-2574,2
35,-2574,11,11,56,-2574,-2574,-2574,-2574,-2574,11,19,11,68,-2574,11,61,87,-2574
36,-2574,9,-2574,-2574,-2574,76,-2574,-2574,-2574,9,10,2,15,-2574,2,46,-2574,55
37,-2574,19,47,19,6,-2574,-2574,-2574,-2574,3,21,3,23,-2574,-2574,-2574,38,45
38,43,42,32,-2574,-2574,17,-2574,13,13,5,5,1,6,27,1,14,19,-2574
39,-2574,8,35,-2574,-2574,-2574,-2574,-2574,-2574,21,-2574,8,12,-2574,36,-2574,-2574,70
40,-2574,1,21,10,-2574,14,-2574,-2574,-2574,8,8,7,51,8,15,15,8,35
41,-2574,32,-2574,-2574,-2574,-2574,-2574,-2574,-2574,14,10,6,10,50,-2574,-2574,10,-2574
42,-2574,72,-2574,-2574,-2574,-2574,-2574,49,-2574,3,5,5,-2574,7,71,-2574,19,-2574
43,-2574,46,-2574,-2574,-2574,-2574,-2574,-2574,-2574,13,5,5,-2574,29,-2574,-2574,-2574,42
44,8,72,-2574,-2574,-2574,-2574,-2574,-2574,-2574,60,5,1,28,-2574,49,-2574,-2574,-2574
45,6,-2574,-2574,-2574,-2574,-2574,-2574,-2574,-2574,27,25,1,13,62,19,-2574,-2574,-2574
46,64,15,92,32,-2574,25,-2574,-2574,-2574,1,83,1,21,-2574,25,29,-2574,-2574
47,-2574,-2574,-2574,-2574,11,75,-2574,51,-2574,22,11,11,-2574,49,-2574,48,47,-2574
48,11,23,40,-2574,23,-2574,-2574,26,-2574,11,7,9,12,-2574,2,2,23,47
49,35,9,77,54,-2574,-2574,-2574,-2574,-2574,9,-2574,1,12,-2574,21,28,-2574,54
50,-2574,6,-2574,-2574,59,33,59,12,5,16,7,1,62,56,29,36,-2574,36
51,-2574,20,-2574,-2574,-2574,14,-2574,-2574,48,7,10,8,53,6,79,-2574,28,41
52,1,1,-2574,-2574,-2574,-2574,-2574,-2574,10,20,86,1,35,-2574,64,52,-2574,-2574
53,-2574,-2574,-2574,6,-2574,32,-2574,-2574,-2574,1,7,1,32,-2574,66,-2574,-2574,-2574
54,-2574,6,-2574,-2574,-2574,-2574,-2574,-2574,-2574,26,-2574,1,-2574,-2574,-2574,-2574,-2574,-2574
55,-2574,33,48,-2574,-2574,-2574,-2574,-2574,-2574,6,3,9,-2574,28,-2574,-2574,3,-2574
56,47,11,-2574,-2574,-2574,-2574,-2574,-2574,40,7,-2574,1,3,-2574,1,-2574,-2574,-2574
57,-2574,54,-2574,-2574,19,-2574,-2574,-2574,-2574,22,1,1,-2574,19,-2574,-2574,19,-2574
58,52,7,-2574,-2574,-2574,-2574,-2574,-2574,40,1,-2574,7,-2574,-2574,18,-2574,-2574,-2574
59,-2574,48,-2574,-2574,-2574,-2574,-2574,-2574,-2574,8,-2574,6,19,-2574,17,-2574,-2574,-2574
60,-2574,24,-2574,-2574,35,12,-2574,5,77,3,1,2,15,2,37,26,36,36
61,51,22,-2574,-2574,55,63,-2574,-2574,-2574,13,8,8,14,14,13,46,22,21
62,63,6,55,-2574,-2574,31,-2574,-2574,11,7,3,3,18,-2574,-2574,-2574,24,67
63,-2574,30,41,-2574,-2574,-2574,-2574,-2574,-2574,9,-2574,1,69,-2574,63,-2574,-2574,-2574
64,-2574,-2574,-2574,-2574,-2574,-2574,-2574,-2574,-2574,-2574,10,9,-2574,10,-2574,-2574,-2574,-2574
65,-2574,-2574,-2574,-2574,-2574,-2574,-2574,89,90,10,12,6,9,21,-2574,-2574,14,14
66,-2574,47,80,-2574,32,-2574,-2574,-2574,-2574,1,2,8,-2574,2,1,-2574,13,-2574
67,-2574,-2574,-2574,-2574,-2574,-2574,-2574,-2574,-2574,5,1,1,-2574,6,-2574,-2574,-2574,-2574
68,-2574,-2574,5,68,-2574,69,68,-2574,68,8,8,8,52,16,67,-2574,-2574,69
69,-2574,1,-2574,-2574,51,-2574,-2574,-2574,-2574,3,1,1,-2574,78,-2574,-2574,51,-2574
70,6,11,-2574,-2574,-2574,7,-2574,-2574,-2574,-2574,11,1,-2574,-2574,11,-2574,-2574,-2574
71,-2574,20,-2574,-2574,-2574,-2574,-2574,-2574,-2574,22,2,2,-2574,60,-2574,-2574,78,-2574
72,-2574,-2574,88,-2574,-2574,-2574,-2574,56,59,14,8,6,-2574,19,45,-2574,23,-2574
73,8,26,-2574,1,-2574,39,-2574,-2574,-2574,55,32,8,42,-2574,26,41,-2574,-2574
74,-2574,-2574,79,-2574,-2574,-2574,-2574,-2574,-2574,41,35,6,58,58,13,58,-2574,23
75,-2574,3,-2574,-2574,-2574,-2574,-2574,-2574,-2574,1,27,1,69,-2574,-2574,-2574,-2574,-2574
76,-2574,15,-2574,-2574,-2574,51,-2574,-2574,60,16,7,1,41,-2574,42,13,-2574,6
77,83,-2574,52,-2574,-2574,59,-2574,-2574,-2574,1,10,1,59,27,44,-2574,-2574,-2574
78,26,9,11,26,-2574,13,-2574,-2574,-2574,9,11,6,26,-2574,11,77,-2574,16
