,가구인테리어/잡화_고가,가구인테리어/잡화_저가,가구인테리어/잡화_중가,가전/레저취미/멀티샵_고가,가전/레저취미/멀티샵_저가,가전/레저취미/멀티샵_중가,교육문화/아동_고가,교육문화/아동_저가,교육문화/아동_중가,식품/생활_고가,식품/생활_저가,식품/생활_중가,의류/이미용_고가,의류/이미용_저가,의류/이미용_중가,침구/주방_고가,침구/주방_저가,침구/주방_중가,총 평균 구매주기
1,-1,10.0,-1,,,-1,,,,13.166666666666666,17.25,4.142857142857143,18.0,,9.444444444444445,62.0,,,3.48
2,,10.0,,-1,,,,,,13.25,-1,5.6,13.6,7.5,16.5,-1,,21.0,3.652173913043478
3,,-1,,,,,,,,,2.046511627906977,5.125,,,,,,,1.9555555555555555
4,,12.0,-1,,,-1,,-1,,12.0,9.222222222222221,2.870967741935484,50.0,-1,13.0,,,,2.6176470588235294
6,-1,21.666666666666668,-1,,,,,,,15.666666666666666,3.9130434782608696,2.0930232558139537,10.857142857142858,12.75,7.5,,,,1.8
7,,27.0,,,,,,-1,,16.8,17.0,2.75,13.6,,34.5,-1,-1,,2.0952380952380953
8,-1,12.8,-1,,,71.0,,,,3.2222222222222223,-1,1.9130434782608696,11.6,,5.0,,,,1.7959183673469388
9,4.0,10.857142857142858,11.5,-1,,14.5,,,,17.0,22.5,5.375,14.5,,4.578947368421052,3.0,,,2.1219512195121952
10,,14.0,35.0,,9.0,,,,,19.666666666666668,1.5535714285714286,1.359375,24.0,12.0,-1,1.0,17.0,,1.2608695652173914
11,-1,6.0,1.0,,,15.0,,,25.0,20.0,6.0,9.333333333333334,11.833333333333334,,14.25,,,,5.235294117647059
12,,-1,,,-1,,,,,13.2,5.25,3.1481481481481484,,-1,34.0,,-1,-1,2.8333333333333335
13,,19.0,,,,,,20.0,,6.909090909090909,2.119047619047619,1.6181818181818182,27.5,14.0,,,60.0,-1,1.5344827586206897
14,28.0,25.333333333333332,,16.666666666666668,13.0,15.0,,,,14.666666666666666,8.3,2.78125,17.0,,9.375,-1,-1,,2.1707317073170733
15,,-1,13.5,,,-1,,-1,,17.5,3.909090909090909,1.5535714285714286,6.25,33.5,5.428571428571429,,,-1,1.40625
16,-1,6.0,,,,,-1,,17.0,5.428571428571429,4.0,3.3076923076923075,-1,,,-1,,,3.0
17,-1,9.0,17.0,,,,,,,11.714285714285714,8.5,3.6,-1,,38.5,7.0,-1,,2.6470588235294117
18,,24.0,,,,,,,,9.8,14.0,6.833333333333333,-1,,,,,23.0,5.0588235294117645
19,-1,21.0,-1,70.0,,,,,,14.0,,4.526315789473684,12.285714285714286,,5.0,,,,3.909090909090909
20,,13.8,9.0,,,,,,,6.142857142857143,-1,2.838709677419355,28.5,-1,73.0,,,,2.5142857142857142
21,,-1,-1,,19.0,,,17.0,10.714285714285714,5.6,1.8666666666666667,1.826086956521739,,9.0,1.0,,,,1.6538461538461537
22,19.0,,-1,,,,,,,43.5,,2.2,25.0,,,-1,,,2.1463414634146343
23,,5.0,7.333333333333333,9.0,,-1,,,,7.0,,3.5714285714285716,27.5,,-1,,,1.0,4.882352941176471
24,,,,,19.0,,,,,11.0,4.4,3.8260869565217392,,18.0,,,-1,-1,3.3846153846153846
25,34.0,14.8,21.5,-1,,,,,,22.0,17.0,6.285714285714286,12.0,-1,7.4,,,,4.190476190476191
26,35.0,13.166666666666666,84.0,25.666666666666668,,14.0,,,,8.3,6.090909090909091,2.6666666666666665,14.4,-1,8.0,15.6,,-1,1.872340425531915
27,-1,,,-1,,,,,16.0,8.4,-1,3.8181818181818183,-1,,7.0,-1,,,3.5
28,,-1,,,,,,,,5.5,2.342857142857143,2.125,-1,13.0,,,-1,,1.8888888888888888
29,49.0,,17.333333333333332,7.090909090909091,,9.555555555555555,,,23.333333333333332,25.0,18.0,7.3,12.333333333333334,27.0,6.615384615384615,-1,,,3.0344827586206895
30,50.0,12.0,34.0,,-1,-1,,,,9.625,8.777777777777779,2.3157894736842106,6.583333333333333,-1,7.2,-1,13.166666666666666,-1,2.0
31,,12.8,-1,,,,,,21.0,7.0,,2.7419354838709675,49.0,,28.0,,,,2.7419354838709675
32,,,,,30.5,,,,,6.75,3.111111111111111,1.836734693877551,,14.0,,,-1,,1.6363636363636365
33,,43.0,-1,,,,,,,12.4,2.1707317073170733,2.0697674418604652,,16.0,,,,,1.7450980392156863
34,,11.6,,,,,,,,25.0,,3.185185185185185,,,13.666666666666666,,,,2.9655172413793105
35,,19.5,-1,,-1,-1,,,,5.733333333333333,7.444444444444445,2.588235294117647,17.5,,20.5,,,-1,2.5142857142857142
36,,15.75,-1,,,,,,18.0,6.3076923076923075,,4.0,20.5,,,3.5,,10.0,3.8260869565217392
37,,24.5,,-1,,,,,,10.5,-1,4.2,9.285714285714286,,-1,-1,,,3.8181818181818183
38,,,-1,,12.0,,,6.5,18.25,4.142857142857143,2.0232558139534884,1.9534883720930232,-1,12.333333333333334,-1,-1,21.0,-1,1.5714285714285714
39,,21.5,,,,,,,,24.0,,2.9310344827586206,12.0,,,,,,2.8333333333333335
40,,27.333333333333332,,-1,,2.25,,,,12.0,14.833333333333334,4.2,-1,-1,9.444444444444445,13.4,,-1,2.5714285714285716
41,,,,,,,,,,14.0,7.375,2.8275862068965516,24.0,-1,-1,,,,2.5625
42,,,,,3.0,,,-1,,4.916666666666667,2.1707317073170733,2.0697674418604652,,6.416666666666667,,,15.0,,1.8541666666666667
43,,,,,-1,,,,,11.285714285714286,2.263157894736842,2.0,,-1,,,34.5,,1.5925925925925926
44,39.0,-1,,,,10.0,,,,14.25,5.857142857142857,1.9148936170212767,,,11.142857142857142,-1,31.0,,1.6666666666666667
45,-1,9.333333333333334,,-1,,-1,,,,-1,12.0,2.6666666666666665,6.0,28.0,17.666666666666668,,,,2.1463414634146343
46,40.0,38.0,,,,12.0,,,,9.88888888888889,,2.4411764705882355,10.166666666666666,,28.0,46.0,,,1.8936170212765957
47,,,,-1,78.0,,,,-1,8.11111111111111,4.0,3.4782608695652173,,72.0,,,50.0,,3.2
48,16.666666666666668,7.8,,,,,,,,9.428571428571429,4.0,4.0,7.222222222222222,-1,12.166666666666666,21.5,,,2.5428571428571427
49,69.0,15.333333333333334,-1,-1,,,,,-1,7.142857142857143,,3.2962962962962963,6.25,,-1,5.25,,,2.282051282051282
50,-1,8.4,-1,,,32.5,,-1,26.0,6.0,6.071428571428571,2.3684210526315788,8.0,-1,8.0,,-1,-1,2.0454545454545454
51,,28.0,2.0,-1,,,,,17.6,5.466666666666667,16.0,2.5428571428571427,1.0,8.0,4.75,1.0,-1,-1,2.022727272727273
52,-1,5.428571428571429,,,33.0,46.0,,,-1,13.0,,1.875,32.0,,25.666666666666668,,,,1.7647058823529411
53,-1,,-1,17.2,,-1,,,,33.0,9.666666666666666,2.5714285714285716,12.5,,-1,,,,2.1951219512195124
54,,11.714285714285714,,,,,,,,6.384615384615385,,2.696969696969697,36.0,,,,,,2.5714285714285716
55,,-1,,,-1,,,,,17.25,2.4857142857142858,3.9545454545454546,,7.0,,,23.0,,1.9772727272727273
56,7.0,15.0,6.0,,,,,,15.4,10.833333333333334,-1,4.0,10.857142857142858,,13.333333333333334,12.0,,1.0,2.3157894736842106
