,가구인테리어/잡화_고가,가구인테리어/잡화_저가,가구인테리어/잡화_중가,가전/레저취미/멀티샵_고가,가전/레저취미/멀티샵_저가,가전/레저취미/멀티샵_중가,교육문화/아동_고가,교육문화/아동_저가,교육문화/아동_중가,식품/생활_고가,식품/생활_저가,식품/생활_중가,의류/이미용_고가,의류/이미용_저가,의류/이미용_중가,침구/주방_고가,침구/주방_저가,침구/주방_중가,총 평균 구매주기
1,-1,25.333333333333332,26.0,,,-1,,,,19.0,10.0,3.652173913043478,10.625,,7.5,1.5,,2.75,2.5
2,,9.625,,10.75,,,,,-1,16.666666666666668,,3.1153846153846154,7.636363636363637,,12.142857142857142,41.0,,27.0,2.1463414634146343
3,,3.423076923076923,,,-1,,,,,47.0,1.4,2.903225806451613,,,,,25.0,,1.338235294117647
4,,17.666666666666668,,45.0,,-1,,,,-1,9.0,4.7894736842105265,22.5,16.0,15.6,-1,,32.0,3.7916666666666665
6,-1,33.0,-1,,,,,,,7.9,3.0,2.2972972972972974,9.11111111111111,11.6,11.125,,7.875,,1.6481481481481481
7,31.0,5.0,9.5,,,-1,,-1,,18.25,11.0,3.8181818181818183,50.0,20.0,17.0,,25.0,-1,2.7419354838709675
8,,46.0,,-1,,,,-1,,3.3461538461538463,-1,2.3421052631578947,15.2,,-1,-1,,,2.0681818181818183
9,-1,,,,,61.0,,,,-1,-1,5.6,3.7916666666666665,,4.095238095238095,,,,1.9782608695652173
10,,14.0,,,-1,-1,,,,8.75,1.836734693877551,1.4444444444444444,34.5,,-1,,8.0,18.666666666666668,1.338235294117647
11,24.0,30.0,-1,,-1,12.666666666666666,,,-1,12.428571428571429,,4.5,11.714285714285714,,15.666666666666666,21.666666666666668,,,2.727272727272727
12,,,,,,,,,,-1,2.2941176470588234,9.666666666666666,-1,36.0,-1,,-1,,1.9772727272727273
13,,34.0,,,,,,-1,,9.11111111111111,2.8125,2.0454545454545454,27.0,16.0,,,12.0,,1.9148936170212767
14,-1,13.333333333333334,64.0,14.0,,-1,,,,15.25,5.0588235294117645,2.4444444444444446,14.0,,8.88888888888889,,20.0,,1.7254901960784315
15,,23.0,,,-1,1.0,,,,14.666666666666666,5.769230769230769,1.7843137254901962,11.6,36.0,26.5,,18.333333333333332,,1.5166666666666666
16,,,,-1,,,,,,11.714285714285714,,4.142857142857143,,-1,14.0,,,,3.48
17,-1,32.0,5.5,,,,,,,23.333333333333332,36.0,14.6,-1,-1,-1,-1,-1,,7.416666666666667
18,,9.88888888888889,20.0,-1,,-1,,,,6.833333333333333,10.0,3.7083333333333335,6.375,,12.333333333333334,,-1,-1,2.6176470588235294
19,-1,17.0,,,,,,,,9.25,,7.222222222222222,8.0,,,,,,6.5
20,,7.571428571428571,,,,,,,,4.3,,2.4444444444444446,,,4.0,,,,2.2564102564102564
21,,,,,,,24.5,-1,24.666666666666668,5.352941176470588,2.9655172413793105,1.8958333333333333,,13.6,-1,,17.0,,1.75
22,-1,-1,,,,,,,,5.5,,1.8461538461538463,,,,-1,,,1.6
23,4.0,21.0,12.0,14.2,,9.0,,,,11.0,23.666666666666668,3.5,16.25,,-1,-1,-1,,3.0
24,,-1,76.0,,-1,-1,,,,27.333333333333332,6.384615384615385,3.4,,36.0,-1,,-1,,2.696969696969697
25,,19.25,23.0,,,-1,,,,-1,88.0,4.7368421052631575,-1,42.0,11.4,,,,3.9130434782608696
26,8.75,8.375,31.0,,,8.5,,,-1,12.142857142857142,,7.25,11.0,,14.0,3.8,,33.5,3.48
27,,,26.0,,,,,,,7.285714285714286,,3.727272727272727,41.0,,-1,,,,3.727272727272727
28,,-1,,,,,,,,4.421052631578948,2.78125,2.1707317073170733,,-1,-1,,-1,,1.875
29,-1,2.0,8.8,14.166666666666666,,41.0,,,3.0,-1,7.8,4.529411764705882,28.5,-1,9.75,1.0,12.0,,2.4285714285714284
