CUSTNO,Monetary_식품/생활_저가_증감여부_q2_q1,Monetary_식품/생활_저가_증감여부_q3_q2,Monetary_식품/생활_저가_증감여부_q4_q3,Monetary_식품/생활_저가_증감여부_q5_q4,Monetary_식품/생활_저가_증감여부_q6_q5,Monetary_식품/생활_저가_증감여부_q7_q6,Monetary_식품/생활_저가_증감여부_q8_q7,Monetary_식품/생활_저가_q2_q1_로그변환,Monetary_식품/생활_저가_q3_q2_로그변환,Monetary_식품/생활_저가_q4_q3_로그변환,Monetary_식품/생활_저가_q5_q4_로그변환,Monetary_식품/생활_저가_q6_q5_로그변환,Monetary_식품/생활_저가_q7_q6_로그변환,Monetary_식품/생활_저가_q8_q7_로그변환
1,4,4,4,1,3,1,4,6.617912190316334,10.119623628890961,10.524495028242047,-9.710252852655074,9.091058308803444,-10.87886600317716,8.12748463708303
2,0,0,4,1,4,1,1,0.0,0.0,7.820740819716327,-7.820740819716327,8.513895744576194,-8.017791828932689,-7.575620864606576
3,3,2,1,3,3,1,3,11.262288849375844,-8.97695502598277,-11.553812962986742,10.901835526731647,9.175937458270745,-11.049290316642695,-8.887154780709917
4,4,1,4,1,4,1,2,10.937736681512694,-10.65779124129527,10.467290139896177,-10.403459966035324,10.97000804826016,-10.240614864765739,-8.999177102448803
6,1,3,2,3,1,4,2,-11.766693526522658,10.732937960968524,-9.998502314135058,11.309913486188718,-12.312988817541557,11.198359600579524,-10.826536175786778
7,1,4,1,4,2,4,1,-8.94457220311161,9.996366700132128,-10.013720043926362,10.142541590788577,-9.130656223858203,9.638798052149244,-10.479557310570392
8,0,4,1,0,4,4,1,0.0,9.535274975254907,-9.535274975254907,0.0,7.836816234850539,10.175712377271598,-10.267740764046048
9,1,4,2,4,2,1,1,-10.02991404926866,9.4297542688603,6.657672950020248,10.915532385584267,-9.175744213836415,-10.18513835454434,-10.471048215141344
10,1,3,3,2,2,3,1,-12.234163380234751,10.431737618675989,11.39306024015581,10.169869747419884,-11.414644956978439,11.684343536570514,-12.307730244992156
11,1,1,4,4,1,2,1,-11.01884973997926,-8.423989917405747,8.964690068236065,10.20210490030429,-10.098131514454854,-7.393717167792776,-9.089248537992717
12,1,4,3,2,3,1,3,-11.284011007103057,10.9273307656515,9.716804982365458,-9.304817795370571,4.664654791543386,-10.563780710795658,-7.074586304275921
13,3,2,3,2,3,2,2,11.181947126836002,-9.637378880206889,11.782809662548049,-10.949973793620277,10.59781783440235,-9.808765855807318,-10.471436860890769
14,4,1,3,1,1,4,1,11.58656553173245,-10.993642706637468,11.16171252850305,-11.25112598052848,-10.923709235614238,10.74319465335955,-11.341311521330686
15,1,2,4,2,1,3,1,-11.482741436484462,-9.257909587441835,11.5199865727945,6.874819423770518,-11.07294469800069,7.695917386345275,-10.4929327841662
16,0,0,0,4,1,3,1,0.0,0.0,0.0,10.719613938190303,-10.499730711613164,3.637936160994416,-8.906882163541736
17,1,4,1,4,4,1,4,-10.488976068151565,11.015057268527896,-11.019510902857961,11.48252590786326,11.155869606994967,-11.926953373413067,10.672952849934662
18,4,2,1,0,4,1,1,10.667493236660029,-8.227214912970958,-10.690932264277661,0.0,9.4300660728554,-9.025299368036542,-8.33029664218481
19,4,1,4,1,0,0,0,8.288299855534271,-8.288299855534271,8.986112248379936,-8.986112248379936,0.0,0.0,0.0
20,0,0,0,0,4,1,4,0.0,0.0,0.0,0.0,7.167393044463339,-7.167393044463339,6.895011685565811
21,2,3,2,3,4,1,3,-9.518591771878423,9.553695732620218,-10.61364397382344,11.060405593882175,12.473873571055814,-12.285863487689697,10.82724536141164
22,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,1,2,4,1,0,0,0,-9.49042442132291,3.14196277162839,10.013853589340814,-10.385934831727592,0.0,0.0,0.0
24,1,2,4,1,3,3,2,-10.929064661154044,-8.874846424169853,11.264985655611222,-10.631415343143106,9.323875633928155,9.008407106477966,-10.069661077012492
25,3,3,4,1,4,2,1,7.277521684685814,7.953635896879494,9.736323300121873,-9.927612390116746,10.276567358606899,-8.596220859565234,-9.44786504835002
26,1,0,4,1,4,1,3,-8.96994724027139,0.0,8.689287558225473,-8.689287558225473,11.947017553953815,-11.46916489821283,8.996710489355129
27,4,1,4,1,4,1,4,9.107132787441657,-9.107132787441657,7.602682640395869,-7.602682640395869,6.905260152508533,-6.905260152508533,9.300215527814485
28,4,1,3,1,4,2,2,11.625647433928226,-11.75794219856695,10.537855198094062,-11.364955398187462,11.837465203884097,-10.225282512022432,-10.040483362850981
