CUSTNO,가구인테리어/잡화_고가_증감여부,가구인테리어/잡화_저가_증감여부,가구인테리어/잡화_중가_증감여부,가전/레저취미/멀티샵_고가_증감여부,가전/레저취미/멀티샵_저가_증감여부,가전/레저취미/멀티샵_중가_증감여부,교육문화/아동_고가_증감여부,교육문화/아동_저가_증감여부,교육문화/아동_중가_증감여부,식품/생활_고가_증감여부,식품/생활_저가_증감여부,식품/생활_중가_증감여부,의류/이미용_고가_증감여부,의류/이미용_저가_증감여부,의류/이미용_중가_증감여부,침구/주방_고가_증감여부,침구/주방_저가_증감여부,침구/주방_중가_증감여부
1,2,2,1,1,0,1,0,0,0,3,3,1,3,0,3,2,1,1
2,1,3,1,2,1,0,0,0,1,1,4,1,2,4,3,1,0,4
3,0,4,0,0,0,0,0,0,0,1,3,3,0,0,0,0,0,0
4,0,4,4,0,0,3,0,4,0,4,4,2,4,4,2,1,0,0
6,4,3,4,0,0,0,0,0,0,2,1,1,3,3,4,1,1,1
7,0,2,0,1,0,1,0,3,0,4,2,3,4,1,1,3,4,1
8,2,3,4,1,0,4,0,0,0,3,4,2,3,0,1,1,0,0
9,2,4,3,1,0,2,0,0,0,4,2,4,1,0,4,2,0,0
10,0,2,4,0,4,0,0,0,0,2,2,3,3,4,1,4,4,1
11,4,4,4,0,0,4,0,0,4,2,1,1,3,0,4,0,0,1
12,0,4,0,0,4,0,0,0,0,4,3,4,0,2,4,0,3,4
13,0,4,1,0,0,0,0,4,0,3,3,3,4,3,1,0,2,3
14,4,1,1,2,4,3,0,0,0,3,1,3,4,0,2,2,2,1
15,0,4,2,0,0,3,0,4,0,2,1,4,4,2,1,0,1,4
16,4,2,0,0,0,0,4,0,4,2,1,1,2,1,1,2,0,0
17,4,4,3,0,0,0,0,0,0,4,4,4,1,0,4,3,4,0
18,0,2,1,0,0,1,0,1,0,4,4,3,2,0,0,0,0,2
19,4,4,4,4,0,0,0,0,0,3,0,4,4,0,2,1,0,1
20,1,2,4,1,0,1,0,0,0,4,4,1,4,4,4,0,0,0
21,0,2,4,0,4,4,0,4,4,3,4,4,1,2,4,0,1,0
22,1,0,4,1,0,0,0,0,0,4,0,2,3,0,0,4,0,0
23,0,3,3,2,0,4,0,0,0,3,0,1,3,0,4,1,0,4
24,0,1,0,0,1,4,0,0,0,4,3,3,0,1,0,0,4,4
25,1,3,2,4,0,1,0,0,0,2,4,1,3,2,2,0,0,0
26,1,3,2,2,0,2,0,0,0,3,4,4,4,1,1,2,0,4
27,2,0,0,4,0,0,0,0,4,3,4,4,2,0,4,4,0,0
28,0,4,0,0,0,0,0,0,0,4,4,4,4,1,0,0,4,0
29,2,1,3,4,0,2,0,0,4,1,1,1,3,1,2,1,1,1
30,4,3,3,0,4,2,0,0,0,3,3,3,3,4,4,3,3,4
31,0,2,4,0,0,1,0,0,1,3,0,4,2,0,1,0,0,0
32,0,1,0,0,3,1,0,0,0,2,2,2,0,4,0,0,1,0
33,0,4,4,0,0,0,0,0,0,3,2,3,0,3,0,0,0,0
34,0,3,1,0,0,0,0,0,0,1,0,2,0,0,4,1,0,1
35,0,4,1,0,3,3,0,0,0,4,4,4,2,1,2,1,0,4
36,0,4,4,0,0,1,0,0,4,3,0,3,4,0,0,4,0,4
37,0,3,0,4,0,0,0,0,0,4,4,1,3,0,4,4,0,0
38,0,1,4,0,4,0,1,4,4,3,2,2,4,2,2,2,1,1
39,0,4,0,0,0,0,0,0,0,4,0,3,4,0,0,0,0,0
40,0,2,1,1,0,4,0,0,0,2,1,2,2,2,3,3,1,1
41,1,0,0,0,0,1,0,0,0,3,4,2,4,1,4,0,0,0
42,0,1,1,0,4,0,0,2,0,3,2,3,1,2,0,0,3,0
43,0,0,0,0,4,0,0,1,0,3,4,4,0,1,0,0,4,0
44,2,1,1,0,0,3,0,0,0,3,4,2,0,0,1,4,4,0
45,4,3,1,3,0,1,1,0,0,1,4,2,3,4,4,0,1,0
46,1,4,1,1,0,4,0,0,0,4,0,2,4,0,4,2,0,0
47,0,1,1,4,3,1,0,1,1,3,1,3,1,3,0,0,3,0
