CUSTNO,Monetary_가구인테리어/잡화_고가_등급,Monetary_가구인테리어/잡화_저가_등급,Monetary_가구인테리어/잡화_중가_등급,Monetary_가전/레저취미/멀티샵_고가_등급,Monetary_가전/레저취미/멀티샵_저가_등급,Monetary_가전/레저취미/멀티샵_중가_등급,Monetary_교육문화/아동_고가_등급,Monetary_교육문화/아동_저가_등급,Monetary_교육문화/아동_중가_등급,Monetary_식품/생활_고가_등급,Monetary_식품/생활_저가_등급,Monetary_식품/생활_중가_등급,Monetary_의류/이미용_고가_등급,Monetary_의류/이미용_저가_등급,Monetary_의류/이미용_중가_등급,Monetary_침구/주방_고가_등급,Monetary_침구/주방_저가_등급,Monetary_침구/주방_중가_등급
1,6,5,4,7,8,5,8,8,8,5,7,3,4,8,4,5,6,3
2,5,3,5,5,4,8,8,8,3,4,8,3,2,8,5,2,8,8
3,8,7,8,8,8,8,8,8,8,7,6,7,8,8,8,8,8,8
4,8,6,8,8,8,7,8,8,8,7,7,5,7,7,6,7,8,8
6,8,4,8,8,8,8,8,8,8,5,4,5,5,6,6,4,5,6
7,8,4,8,6,8,6,8,7,8,5,7,6,4,7,3,7,7,6
8,7,5,8,5,8,5,8,8,8,2,8,2,4,8,6,7,8,8
9,2,8,5,2,8,3,8,8,8,8,7,7,2,8,3,1,8,8
10,8,6,8,8,8,8,8,8,8,6,2,4,7,7,6,8,7,7
11,8,8,8,8,8,8,8,8,7,4,7,5,4,8,8,8,8,6
12,8,8,8,8,8,8,8,8,8,7,7,7,8,7,8,8,7,8
13,8,6,6,8,8,8,8,7,8,6,5,3,7,6,7,8,6,7
14,6,2,7,4,8,6,8,8,8,6,6,4,6,8,5,6,6,7
15,8,6,4,8,8,7,8,8,8,6,6,7,7,6,5,8,7,8
16,8,5,8,8,8,8,8,8,8,3,7,4,7,7,7,6,8,8
17,8,7,2,8,8,8,8,8,8,5,6,7,4,8,7,6,8,8
18,8,6,5,8,8,7,8,5,8,6,8,6,5,8,8,8,8,6
19,8,6,8,8,8,8,8,8,8,6,8,3,4,8,7,7,8,6
20,6,2,8,7,8,4,8,8,8,3,8,4,8,8,7,8,8,8
21,8,7,8,8,8,8,8,7,8,4,5,5,4,4,8,8,6,8
22,2,8,8,6,8,8,8,8,8,7,8,2,3,8,8,8,8,8
23,8,6,5,4,8,8,8,8,8,3,8,2,3,8,7,7,8,8
24,8,7,8,8,1,8,8,8,8,7,6,7,8,3,8,8,8,8
25,6,4,4,8,8,7,8,8,8,7,7,6,5,6,2,8,8,8
26,3,5,6,5,8,2,8,8,8,5,8,7,6,7,3,5,8,8
27,5,8,8,8,8,8,8,8,8,2,8,7,2,8,8,8,8,8
28,8,8,8,8,8,8,8,8,8,6,7,7,8,5,8,8,8,8
29,5,5,5,6,8,1,8,8,6,5,7,7,5,6,5,5,6,6
30,8,6,7,8,8,7,8,8,8,5,5,2,2,7,8,7,5,8
31,8,5,8,8,8,7,8,8,5,5,8,6,7,8,6,8,8,8
32,8,6,8,8,7,6,8,8,8,4,6,4,8,3,8,8,6,8
33,8,8,8,8,8,8,8,8,8,6,4,5,8,6,8,8,8,8
34,8,4,7,8,8,8,8,8,8,6,8,5,8,8,7,6,8,5
35,8,5,5,8,7,6,8,8,8,4,7,3,4,6,5,5,8,8
36,8,6,8,8,8,6,8,8,8,4,8,5,8,8,8,8,8,8
37,8,5,8,8,8,8,8,8,8,6,8,2,2,8,8,8,8,8
38,8,6,7,8,7,8,7,6,7,3,3,4,7,5,7,7,2,5
39,8,7,8,8,8,8,8,8,8,7,8,6,2,8,8,8,8,8
40,8,4,7,4,8,7,8,8,8,6,6,7,6,7,6,5,6,4
41,6,8,8,8,8,6,8,8,8,7,7,2,7,7,8,8,8,8
42,8,5,7,8,8,8,8,7,8,6,5,4,7,2,8,8,7,8
43,8,8,8,8,8,8,8,7,8,7,6,7,8,6,8,8,7,8
44,6,3,6,8,8,7,8,8,8,6,7,5,8,8,3,8,8,8
45,8,6,6,6,8,5,7,8,8,6,7,5,1,8,6,8,6,8
46,1,7,5,5,8,8,8,8,8,6,8,3,5,8,8,4,8,8
47,8,4,6,8,5,7,8,7,6,5,3,5,7,7,8,8,6,8
48,4,3,7,8,8,5,8,8,7,2,7,6,2,8,6,6,8,5
49,6,3,8,8,8,8,8,8,8,2,8,5,2,8,6,1,8,8
50,8,3,8,8,8,4,8,6,4,6,6,4,8,5,8,8,5,8
