,가구인테리어/잡화_고가,가구인테리어/잡화_저가,가구인테리어/잡화_중가,가전/레저취미/멀티샵_고가,가전/레저취미/멀티샵_저가,가전/레저취미/멀티샵_중가,교육문화/아동_고가,교육문화/아동_저가,교육문화/아동_중가,식품/생활_고가,식품/생활_저가,식품/생활_중가,의류/이미용_고가,의류/이미용_저가,의류/이미용_중가,침구/주방_고가,침구/주방_저가,침구/주방_중가
1,4,3,2,3,7,4,7,7,7,3,4,3,3,6,2,2,4,2
2,3,1,2,3,4,7,7,7,3,2,5,4,1,1,3,3,7,3
3,7,2,7,7,7,7,7,7,7,4,2,4,7,7,7,7,7,7
4,7,3,6,7,7,4,7,6,7,4,4,3,4,4,3,4,6,3
6,6,3,6,7,7,7,7,7,7,3,3,2,2,3,3,3,1,2
7,2,4,6,5,7,4,7,4,7,3,4,3,3,6,3,3,4,3
8,4,2,5,3,7,4,7,7,7,1,6,2,2,7,3,3,7,6
9,3,3,3,2,7,2,7,7,7,5,4,4,1,7,1,2,7,7
10,7,4,3,7,3,7,7,7,7,3,1,1,3,4,4,1,3,6
11,5,5,1,6,7,3,7,7,3,3,5,5,2,7,3,6,7,6
12,7,5,7,7,6,7,7,7,7,5,3,4,7,5,4,7,4,5
13,7,3,4,7,7,6,7,3,7,2,2,1,4,3,5,7,3,5
14,4,3,3,3,2,4,7,7,7,3,3,3,4,6,3,5,4,6
15,7,3,3,7,7,3,7,6,7,3,3,2,3,3,3,6,6,6
16,6,3,7,7,7,7,6,7,2,1,4,3,4,6,5,5,7,6
17,6,2,2,7,7,7,7,7,7,3,4,4,3,7,4,3,6,1
18,7,3,3,7,6,7,7,6,7,3,4,5,2,7,7,7,7,3
19,6,3,6,4,7,7,7,7,7,3,2,4,2,7,4,6,7,6
20,6,2,1,6,7,1,7,7,7,1,6,3,3,6,4,7,7,6
21,7,5,6,7,4,7,4,3,3,1,2,2,6,3,4,7,4,7
22,3,7,5,1,7,7,7,7,7,5,7,2,2,7,7,5,7,7
23,1,3,2,2,7,4,7,1,7,2,4,3,2,7,4,6,6,4
24,7,5,7,7,2,7,7,7,7,3,3,3,7,2,7,7,4,6
25,3,2,2,6,7,5,7,7,7,5,4,4,2,4,1,7,7,7
26,2,2,3,3,7,2,7,7,4,3,4,4,2,5,2,2,7,5
27,3,1,7,5,7,6,7,7,2,2,5,4,2,7,5,6,6,7
28,7,5,7,7,7,7,7,7,7,2,3,3,6,3,7,7,6,6
29,3,3,3,2,7,1,7,7,3,4,4,4,2,3,2,3,4,5
30,4,2,3,7,6,5,7,7,7,3,4,3,1,5,3,4,1,5
31,7,1,5,7,7,6,7,7,3,2,7,3,4,7,3,1,7,6
32,7,5,7,7,3,5,7,7,7,2,3,1,7,3,7,7,4,7
33,7,5,6,7,7,7,7,7,7,3,2,2,7,3,7,7,6,7
34,7,1,6,7,7,7,7,7,7,2,7,3,7,7,4,1,7,6
35,7,3,3,7,3,5,7,7,7,2,4,4,3,5,3,6,7,6
36,7,3,4,7,7,5,7,7,3,2,6,4,3,7,6,1,7,4
37,7,3,6,3,7,7,7,7,6,3,6,3,1,7,5,6,7,6
38,7,2,3,7,3,7,6,2,3,1,2,2,5,3,5,4,2,4
39,7,3,7,7,7,7,7,7,6,4,7,3,2,7,7,6,7,7
40,7,2,3,3,7,1,7,7,7,2,4,4,4,4,3,2,4,2
41,6,3,6,7,7,6,7,7,7,5,4,3,5,5,6,6,7,7
42,7,3,2,7,1,7,7,3,7,2,3,3,6,2,7,7,3,7
43,7,7,7,7,6,7,7,6,7,3,3,3,7,3,3,7,3,7
44,2,5,1,7,7,3,7,7,7,3,4,2,1,7,2,3,4,7
45,4,3,3,4,7,4,6,6,7,5,5,3,1,5,3,7,6,7
46,3,3,6,6,7,3,7,7,7,3,6,3,2,7,4,3,7,7
47,7,3,6,6,3,7,7,4,4,3,3,3,6,3,7,6,4,6
48,2,1,3,7,7,3,7,7,6,3,4,3,1,6,3,3,3,3
49,3,2,4,6,7,7,7,7,6,3,7,3,1,7,4,1,7,6
50,6,1,6,7,7,3,7,4,2,1,3,2,3,4,4,6,3,4
51,7,2,1,5,7,1,7,4,2,1,4,3,3,3,4,2,2,5
52,4,1,7,7,3,3,7,7,4,3,5,2,3,7,3,1,7,4
53,4,2,6,2,7,5,7,7,7,4,4,2,3,7,4,3,7,6
54,7,2,6,7,7,7,7,7,7,2,6,3,4,7,4,7,7,7
55,7,4,7,7,4,7,7,7,7,3,2,4,7,2,7,7,3,7
56,4,2,1,3,7,6,7,7,3,4,5,3,1,7,3,4,6,1
57,7,4,7,7,3,7,7,6,7,4,2,3,7,3,7,7,3,7
58,3,2,7,7,7,5,7,7,3,1,7,4,5,7,2,6,7,4
59,6,6,6,7,7,7,7,7,7,3,4,2,3,6,4,2,6,6
60,7,3,6,7,3,4,7,7,6,2,3,2,3,4,3,6,4,7
61,7,4,6,7,3,7,6,6,6,3,3,3,4,3,3,6,4,3
62,6,5,6,3,7,3,6,7,3,3,4,3,6,5,3,2,3,6
63,7,2,3,7,6,6,7,7,7,2,7,3,3,7,4,7,7,7
64,7,7,7,7,7,7,7,2,6,5,3,2,7,4,7,7,1,4
65,5,3,7,7,6,6,7,7,7,2,4,3,3,4,4,3,4,1
66,7,6,7,7,4,6,7,7,7,2,3,2,5,4,4,1,3,7
67,7,7,7,7,7,7,7,7,7,3,2,2,5,2,7,7,5,4
68,4,6,1,2,7,7,5,5,4,2,4,4,3,4,3,1,7,3
69,7,1,7,7,6,7,7,7,7,1,1,1,7,3,7,7,1,7
70,3,5,4,6,7,6,7,7,7,3,6,3,7,7,3,3,7,6
71,7,7,7,7,7,7,7,4,6,4,3,3,7,3,7,7,4,4
72,7,3,7,7,4,7,7,3,3,3,3,3,7,2,4,7,3,7
73,2,3,3,2,7,1,7,6,2,5,4,5,2,7,2,3,7,2
74,2,3,4,7,7,7,7,7,7,4,4,4,4,4,3,4,4,2
75,7,3,7,7,7,7,7,7,7,5,4,1,4,6,7,7,6,7
76,6,3,1,7,7,4,7,7,5,2,3,4,4,4,3,4,7,2
77,6,3,6,7,7,7,7,6,4,4,5,4,3,4,3,7,5,7
78,3,2,2,2,7,3,7,7,7,2,4,3,2,4,4,2,4,3
79,7,3,7,7,2,6,7,6,4,4,3,3,5,4,4,1,4,7
80,7,4,7,7,6,7,7,7,7,2,2,1,3,6,4,6,3,6
81,3,3,3,7,6,7,7,7,7,3,5,3,1,7,3,4,7,4
82,4,4,5,3,6,6,6,7,5,3,3,2,1,3,4,5,2,2
83,7,3,6,5,7,4,7,7,7,1,4,2,2,5,4,3,1,6
84,3,3,2,3,7,3,7,6,7,4,6,5,3,6,4,4,6,2
85,7,2,3,7,7,6,7,7,7,2,7,2,3,6,4,4,7,3
86,5,3,7,7,6,7,7,4,4,2,2,2,4,3,3,6,2,4
87,6,5,6,6,7,3,7,7,3,4,4,4,6,7,3,3,7,2
88,7,4,2,2,4,7,7,6,7,2,3,3,1,5,6,3,3,4
89,7,3,5,7,3,3,7,4,6,3,2,1,6,3,4,7,3,2
90,2,4,4,3,7,3,7,6,7,3,4,4,3,2,3,3,6,2
91,7,1,2,7,7,6,7,7,5,3,4,3,6,7,5,7,6,3
92,6,2,3,6,7,2,2,3,1,2,3,3,2,3,2,3,2,4
93,2,2,2,7,7,7,7,7,7,3,6,4,1,7,2,7,7,7
94,7,2,1,4,1,4,7,7,6,1,4,3,3,7,2,6,1,3
95,6,3,7,7,6,7,7,3,7,3,3,2,3,2,4,7,3,7
96,7,2,7,7,7,6,7,7,7,2,7,4,3,7,4,7,7,7
97,2,4,1,1,4,1,7,7,5,4,3,4,2,5,4,1,4,5
98,4,6,6,7,7,4,7,7,2,1,5,3,4,6,3,3,7,4
99,2,3,2,2,6,4,6,6,4,2,4,4,1,6,1,2,1,2
100,6,5,5,7,7,5,7,7,4,5,5,3,2,3,3,3,7,4
101,7,4,7,7,7,7,7,7,7,3,4,2,6,7,7,7,7,7
102,2,3,3,4,6,6,7,7,7,2,2,1,2,4,4,3,2,3
103,7,6,7,7,6,7,7,7,7,5,3,4,7,7,7,7,3,7
104,7,4,7,7,7,7,5,7,7,5,2,2,3,4,5,7,6,5
105,7,6,6,7,3,6,1,4,6,2,3,3,7,3,6,5,3,6
106,6,2,5,2,7,2,7,7,5,3,5,4,3,6,3,4,6,6
107,6,2,4,4,7,4,7,7,4,2,4,3,1,7,3,3,6,3
108,6,1,3,7,6,3,7,7,6,2,6,3,3,7,2,6,7,6
109,7,6,7,7,7,7,7,7,7,3,2,2,7,5,7,7,7,7
110,7,2,4,6,7,3,4,6,3,1,4,3,3,4,4,3,4,3
111,7,6,7,7,7,7,7,6,7,5,1,2,7,7,7,7,6,6
112,7,2,2,7,7,3,7,6,5,3,4,3,2,4,2,7,3,7
113,2,2,5,3,3,2,6,3,2,2,4,3,3,3,2,2,5,2
114,6,3,7,4,7,3,7,7,5,3,4,3,3,5,3,6,7,6
115,2,3,4,6,7,4,7,7,7,3,5,4,3,7,4,3,7,4
116,7,4,7,7,6,7,7,7,7,3,1,3,5,6,5,7,7,7
117,4,3,7,6,7,5,7,7,7,2,3,3,4,3,3,3,3,2
118,3,3,3,3,7,3,7,7,6,2,6,4,2,3,1,1,7,3
119,3,1,2,6,7,2,7,7,2,2,4,4,3,6,2,3,4,3
120,2,3,1,7,7,4,7,7,7,4,4,3,1,6,2,4,4,4
121,6,3,6,6,7,1,4,7,2,3,4,2,3,6,3,6,6,6
122,1,3,6,3,4,3,3,3,2,3,4,4,3,5,3,5,3,4
123,7,6,6,7,6,7,7,3,6,2,2,2,7,3,7,7,4,2
124,1,2,3,7,7,6,7,7,7,3,7,4,3,6,2,3,7,2
125,6,3,7,4,6,7,7,6,7,3,5,4,5,5,4,7,5,3
126,2,6,3,7,6,4,7,7,7,2,3,1,3,2,3,2,7,3
127,6,3,7,7,7,6,7,7,7,5,4,3,3,6,4,7,4,7
128,7,6,7,7,3,7,7,7,7,4,3,3,7,3,7,7,7,7
129,7,5,7,7,3,7,7,6,7,2,3,3,7,7,7,7,4,7
130,1,2,6,7,6,2,7,7,2,2,4,4,2,7,2,5,5,6
131,3,1,6,6,6,2,7,7,4,2,4,3,3,7,3,5,1,2
132,7,5,6,7,6,4,7,3,7,2,2,1,5,3,4,7,6,7
