CUSTNO,PURAMT
1,14.123424097701681
2,14.981724207945554
3,88.49539376595294
4,34.501291197156306
6,35.89132185255804
7,8.63249352239085
8,47.228261385537024
9,2.6613186288773445
10,72.52541611532405
11,11.95259924434973
12,41.38175750358777
13,75.63795868128949
14,34.44653129727674
15,22.74357358423434
16,69.05290479826132
17,46.61612674298723
18,7.705485062169005
19,34.85184653107906
20,71.39757007478488
21,65.05540335193052
22,8.41094245152586
23,28.800298726486172
24,48.33538873599607
25,8.47074682930231
26,6.823710450394723
27,41.431243853750324
28,69.41352049048079
29,5.101989334379807
30,18.716181958724327
31,50.414802393158865
32,68.5048193120613
33,85.67146143657195
34,62.27027048472481
35,32.760998712199005
36,34.35531766131243
37,23.01324141012898
38,70.24889091409496
39,3.02424097533417
40,15.873348902047708
41,64.86429719217648
42,67.4661841788783
43,63.22164753096556
44,8.921684343104543
45,2.686167859887799
46,8.507288106098517
47,55.51739339508765
48,11.110310911004976
49,9.70665300127236
50,42.349162445411004
51,41.953044401328484
52,34.15536998410121
53,18.053334280265513
54,56.9256669572635
55,56.62325340001465
56,9.356442703400713
57,85.4804312492074
58,30.770271890384272
59,36.43243610386745
60,39.02933165584401
61,48.032480179259124
62,39.722322842201784
63,70.70169070775094
64,84.27904226219387
65,40.340166627621336
66,69.26691197406225
67,73.59590998335189
68,3.527829862454305
69,91.28054130562295
70,13.13201540076917
71,88.06298576425513
72,59.65366015925275
73,1.1807425675184213
74,19.602724780307554
75,77.71272142480515
76,36.362219364970564
77,30.00620453005527
78,15.261684823240454
79,73.05252512861182
80,67.45469865104386
81,8.90988075352105
82,4.635963885428751
83,9.761288249104966
84,6.94187199284053
85,57.631805580299456
86,40.15569461979276
87,13.373264237893192
88,23.048452772284197
89,54.06996346919735
90,15.360256223142175
91,71.63663804885736
92,25.726224620459874
93,9.306342284487057
94,54.6033172821223
95,62.10436778393471
96,45.53383011008824
97,5.03636458369653
98,55.13762519272682
99,4.711901948004092
100,18.132264642473487
101,78.64635792104572
102,16.61433308547403
103,88.1166077246585
104,80.89773912094341
105,76.42774563918468
106,7.88217141906801
107,5.934937083332146
108,40.26506542583951
109,89.05586533470118
110,36.605057542449146
111,91.85548875045151
112,11.675742815890397
113,13.424218174309166
114,30.14575726427205
115,15.471083827963092
116,77.65764614073647
117,42.10657903060133
118,6.2284657595425506
119,11.19822119272587
120,1.6398963752372118
121,50.40974878802286
122,26.310984001333797
123,81.32422631090519
124,10.178540189290123
125,54.39718093266184
126,20.182707454422957
127,57.942523510438605
128,68.6708518914813
129,84.59822977423507
130,22.896471318910613
131,38.61395217487796
132,58.894611686625986
133,53.92818978232087
134,2.711848516868205
135,38.10740421792159
136,10.306993006540724
137,7.541615206302042
138,17.537102107717477
139,20.681822072992478
140,18.403271216131415
141,85.0647648597315
