,가구인테리어/잡화_고가,가구인테리어/잡화_저가,가구인테리어/잡화_중가,가전/레저취미/멀티샵_고가,가전/레저취미/멀티샵_저가,가전/레저취미/멀티샵_중가,교육문화/아동_고가,교육문화/아동_저가,교육문화/아동_중가,식품/생활_고가,식품/생활_저가,식품/생활_중가,의류/이미용_고가,의류/이미용_저가,의류/이미용_중가,침구/주방_고가,침구/주방_저가,침구/주방_중가
1,6,2,2,2,7,5,7,7,5,3,4,4,1,7,1,3,7,3
2,7,1,4,3,6,3,7,7,4,2,7,3,1,7,3,2,7,3
3,7,1,7,7,6,7,7,7,7,5,1,3,7,7,6,7,3,7
4,7,2,4,4,6,4,7,7,7,3,4,3,3,4,3,6,6,4
6,4,3,3,7,6,7,7,7,7,3,2,2,2,2,2,3,2,6
7,3,4,3,4,7,4,7,4,1,3,4,3,3,3,3,1,4,6
8,7,3,7,5,7,3,7,6,3,1,6,2,2,7,3,5,6,7
9,6,5,7,3,7,3,7,7,7,4,5,5,1,7,1,6,7,7
10,6,4,7,7,4,5,7,7,4,3,1,1,4,6,3,7,3,2
11,4,3,3,6,6,3,7,7,4,3,4,4,2,7,3,2,6,2
12,7,4,7,7,7,7,7,7,7,5,3,4,6,4,5,7,3,7
13,7,3,7,7,4,7,7,4,7,2,3,2,4,3,3,7,3,7
14,6,2,3,3,3,4,7,6,3,2,3,2,2,4,2,7,3,3
15,7,3,1,6,6,4,7,7,7,3,3,1,2,4,2,7,3,7
16,7,3,7,6,7,7,7,7,7,3,7,4,7,6,3,7,7,7
17,3,3,1,7,7,7,7,7,7,3,5,4,3,5,3,6,6,3
18,6,2,1,3,7,4,7,7,6,2,4,3,1,7,1,2,6,3
19,6,3,6,5,7,7,7,7,7,3,6,4,3,7,4,7,7,5
20,7,1,7,6,7,2,7,7,6,1,7,3,3,7,4,7,7,6
21,7,2,6,6,6,6,3,2,4,2,3,2,7,3,5,7,3,6
22,3,5,6,7,7,7,7,7,7,4,7,3,3,7,7,6,7,7
23,2,4,3,2,7,3,7,7,7,3,4,3,3,7,5,5,5,6
24,6,5,4,7,3,4,7,7,7,4,3,3,7,3,5,7,4,6
25,4,3,3,7,6,6,7,7,7,5,5,4,4,4,3,6,7,7
26,2,1,2,2,7,2,7,7,4,2,6,4,4,7,1,2,7,3
27,3,7,2,6,7,1,7,7,7,2,6,3,2,6,4,7,7,7
28,7,4,6,7,7,7,7,6,7,2,2,1,7,2,6,7,3,7
29,2,3,2,2,7,2,7,7,3,4,4,4,2,4,2,2,4,6
30,5,1,4,1,5,1,7,7,7,3,3,3,1,4,1,2,1,4
31,7,1,4,6,7,6,7,7,3,2,7,3,3,7,3,1,7,7
32,7,5,3,6,3,7,7,6,4,1,3,1,7,3,4,7,3,7
33,7,4,7,7,6,7,7,7,7,3,2,3,6,3,6,7,3,6
34,7,1,1,7,7,6,7,7,7,2,1,3,7,7,4,7,7,6
35,2,2,1,6,7,7,7,7,7,2,4,4,4,3,3,6,4,6
36,6,3,6,6,7,1,7,6,1,2,5,4,3,7,2,2,6,3
37,6,3,2,6,7,7,7,7,6,3,5,3,2,7,7,7,7,5
38,6,1,4,7,3,7,7,5,3,1,2,2,6,2,3,7,1,5
