,가구인테리어/잡화_고가,가구인테리어/잡화_저가,가구인테리어/잡화_중가,가전/레저취미/멀티샵_고가,가전/레저취미/멀티샵_저가,가전/레저취미/멀티샵_중가,교육문화/아동_고가,교육문화/아동_저가,교육문화/아동_중가,식품/생활_고가,식품/생활_저가,식품/생활_중가,의류/이미용_고가,의류/이미용_저가,의류/이미용_중가,침구/주방_고가,침구/주방_저가,침구/주방_중가
1,4,2,3,5,7,4,7,7,7,3,4,4,3,7,2,3,6,2
2,1,1,2,3,3,7,7,7,4,3,5,4,1,2,3,3,7,2
3,7,4,7,7,6,7,7,7,7,5,2,4,7,7,7,7,7,7
4,7,2,5,7,6,4,7,6,7,4,4,3,4,4,3,5,7,7
6,4,2,3,7,7,7,7,6,7,3,3,1,2,3,3,3,4,4
7,2,4,7,5,6,4,7,5,7,3,4,3,2,6,3,4,4,1
8,3,2,6,1,7,3,7,7,7,1,4,2,2,7,3,6,7,7
9,3,2,3,3,7,2,7,7,7,3,4,4,2,7,1,2,7,7
10,7,4,3,7,3,7,7,7,7,3,1,1,3,4,4,1,3,5
11,6,4,1,7,7,2,7,7,3,4,5,5,2,7,3,7,7,6
12,7,5,7,7,6,7,7,7,7,4,3,3,1,5,4,7,4,6
13,7,3,4,7,7,7,7,3,7,2,2,1,4,3,5,6,3,4
14,4,3,5,2,2,4,7,7,7,3,3,3,3,7,2,5,4,6
15,7,3,3,7,7,3,7,6,7,3,3,2,3,3,1,6,6,5
16,6,3,7,7,7,7,6,7,2,1,4,3,5,6,5,5,7,6
17,4,2,3,7,7,7,7,7,7,2,4,3,4,7,4,3,4,7
18,7,3,3,7,6,1,7,6,7,3,5,4,3,7,1,7,7,3
19,6,2,6,4,7,1,7,7,7,3,7,4,2,6,3,5,7,6
20,6,2,1,4,7,4,7,7,7,1,6,3,3,6,3,7,7,7
21,7,5,6,7,3,7,7,3,2,1,2,2,6,3,4,7,5,1
22,3,7,6,1,7,7,7,7,7,5,7,3,3,7,7,6,7,7
23,6,4,2,2,7,3,7,7,7,3,7,4,3,7,4,4,7,3
24,7,4,7,7,3,7,7,7,6,4,3,3,7,3,6,7,4,4
25,3,3,2,6,6,6,7,7,7,5,4,4,3,4,2,7,7,7
26,2,2,3,2,7,2,7,7,7,3,4,3,2,5,2,2,7,6
27,4,7,6,6,7,6,7,7,2,2,6,4,3,7,3,6,7,7
28,7,6,7,7,7,7,7,7,7,3,3,3,4,3,7,7,5,2
29,3,3,2,1,7,1,7,7,3,3,4,4,2,3,1,3,5,4
30,3,2,3,7,6,5,7,7,7,3,4,3,1,5,3,4,1,4
31,7,1,3,7,7,6,7,7,3,1,6,3,4,7,3,7,7,7
32,7,5,4,7,3,6,7,7,7,2,3,1,7,3,7,7,3,6
33,7,4,6,7,7,7,7,7,7,3,2,2,7,3,7,7,7,7
34,7,2,6,7,7,7,7,7,7,4,7,3,1,7,3,4,7,5
35,7,3,3,6,5,5,7,7,7,2,4,3,3,6,3,4,6,6
36,7,3,6,7,7,5,7,7,3,2,4,3,3,7,2,3,7,2
37,7,3,3,4,6,7,7,7,7,3,5,3,2,7,6,6,6,1
38,6,4,4,7,3,6,6,3,3,1,2,2,5,3,4,3,2,4
39,7,3,1,7,7,7,7,7,7,4,7,3,2,7,6,7,7,6
40,7,3,4,3,7,2,7,7,7,3,4,4,3,4,2,2,5,2
41,6,3,7,7,7,6,7,7,7,3,4,3,5,4,6,7,6,7
42,7,4,2,7,1,7,7,3,7,2,2,2,6,1,6,7,3,7
43,7,6,7,7,6,7,7,6,7,3,2,2,7,3,7,7,2,6
44,3,4,1,7,7,1,7,7,7,3,3,2,2,7,2,6,3,7
45,4,1,6,4,7,4,6,7,7,5,5,3,1,3,3,7,6,7
46,3,3,5,5,7,2,7,7,7,3,6,3,3,7,3,4,7,7
47,7,3,6,6,4,6,7,5,4,2,3,4,6,3,7,6,4,7
48,3,1,4,7,6,6,7,6,6,3,4,3,1,6,3,3,6,5
49,3,3,3,3,7,7,7,7,6,2,7,3,1,7,4,2,7,6
50,6,1,6,7,6,3,6,4,3,2,3,2,4,3,4,6,3,3
51,7,3,1,6,7,4,7,6,3,1,4,3,3,3,3,2,3,3
52,5,2,7,7,3,3,7,7,5,3,5,2,3,7,3,5,7,6
53,6,7,6,3,7,5,7,7,7,3,4,3,3,7,5,6,7,7
54,7,2,6,7,7,7,7,7,7,3,6,3,4,7,3,7,7,7
55,7,3,6,7,4,7,7,7,7,3,2,4,7,3,7,7,3,7
56,2,3,1,1,7,7,7,7,3,3,6,3,1,7,3,1,7,1
57,7,4,7,7,4,7,7,7,7,4,2,3,7,3,7,7,3,7
58,3,2,7,7,7,6,7,7,3,2,7,4,6,7,2,7,7,4
59,6,2,7,7,7,7,7,7,7,4,6,3,3,7,4,6,7,7
60,7,4,6,7,3,3,7,4,5,2,3,2,3,4,3,5,3,6
61,1,4,6,7,4,6,6,6,6,3,3,3,3,3,3,5,4,3
62,4,3,6,1,7,3,7,7,3,4,3,3,5,6,3,2,5,1
63,7,2,4,7,6,6,7,7,7,3,7,3,3,7,5,7,7,7
64,7,7,7,7,7,7,7,2,7,4,3,3,7,5,7,7,7,7
65,6,3,7,7,7,6,7,6,1,2,4,3,4,4,4,3,4,2
66,7,5,6,7,3,7,7,7,7,2,3,2,1,5,3,7,3,7
67,7,7,7,7,7,7,7,7,7,3,2,2,6,2,7,7,6,6
68,6,6,1,3,7,1,4,6,3,2,4,5,3,5,3,3,7,3
69,7,1,7,7,5,7,7,7,7,1,1,1,7,3,7,7,2,7
70,3,5,6,7,7,4,7,7,7,3,5,5,7,7,4,3,7,6
71,7,6,7,7,7,7,7,3,7,4,3,3,7,3,7,7,5,6
72,7,3,6,7,3,7,7,4,5,3,3,3,7,2,4,7,3,7
73,2,3,5,2,7,3,7,7,1,5,5,5,3,7,3,3,7,7
74,2,4,3,7,7,7,7,7,7,4,4,4,5,4,3,5,4,4
75,7,3,7,7,7,7,7,7,7,1,4,2,4,7,7,7,7,7
76,6,4,7,7,7,3,7,7,4,2,3,3,2,3,2,3,7,2
77,3,3,6,7,7,6,7,6,4,4,4,4,3,3,3,7,6,7
78,2,2,2,3,7,2,7,7,7,3,4,3,1,3,3,2,4,4
79,7,5,7,7,2,6,7,7,6,3,3,3,6,4,5,1,5,7
80,7,4,7,7,7,7,7,7,7,2,2,2,6,5,4,6,3,6
81,3,3,3,7,6,1,7,7,7,3,4,3,1,7,3,4,6,3
82,2,3,5,3,4,6,7,7,5,3,3,2,1,3,3,5,2,2
83,7,3,7,3,6,5,7,7,7,1,4,2,1,5,2,4,6,5
84,3,3,4,3,7,3,7,6,1,5,7,5,1,6,4,3,6,2
85,7,2,3,7,7,5,7,7,7,2,7,2,3,6,4,4,7,3
86,6,3,2,6,6,6,7,4,4,1,3,2,4,3,3,5,4,3
87,3,4,5,6,7,3,7,7,4,4,5,4,7,7,2,5,7,2
88,7,4,3,3,4,1,7,7,1,3,3,3,3,3,5,3,3,3
89,7,2,6,7,3,3,7,3,6,3,2,1,5,3,3,6,2,2
90,7,4,4,3,7,4,7,7,7,3,7,4,3,7,3,3,7,3
91,6,1,3,7,7,7,7,7,4,3,4,3,6,7,4,7,6,3
92,6,2,3,6,6,2,2,4,1,1,3,3,3,3,2,2,2,4
93,2,4,2,7,7,7,7,7,7,3,6,4,1,7,1,7,7,7
94,2,1,2,3,1,4,7,1,7,1,4,3,3,6,2,7,1,3
95,7,4,7,7,6,7,7,3,7,3,3,2,4,2,3,7,3,6
96,7,3,7,1,7,1,7,7,7,3,6,4,4,6,5,7,7,6
97,2,3,6,1,3,1,7,7,5,4,3,4,2,6,4,1,4,6
98,2,7,6,7,7,4,7,7,5,1,5,3,4,6,4,1,7,6
99,1,3,2,3,6,4,6,6,4,1,4,3,1,6,1,2,1,1
100,6,5,5,7,7,4,7,7,6,4,5,3,6,5,3,3,7,5
101,7,4,7,7,7,7,7,7,7,3,3,3,5,7,7,7,7,7
102,3,3,2,3,7,6,7,7,7,2,2,2,3,4,3,3,3,2
103,7,6,7,7,6,7,7,7,7,4,2,3,6,7,7,7,3,7
104,7,5,7,7,1,7,6,7,6,4,1,1,7,4,4,7,6,6
105,7,6,5,7,3,7,5,2,6,3,3,3,7,3,3,6,3,6
