CUSTNO,Monetary_가구인테리어/잡화_고가_등급,Monetary_가구인테리어/잡화_저가_등급,Monetary_가구인테리어/잡화_중가_등급,Monetary_가전/레저취미/멀티샵_고가_등급,Monetary_가전/레저취미/멀티샵_저가_등급,Monetary_가전/레저취미/멀티샵_중가_등급,Monetary_교육문화/아동_고가_등급,Monetary_교육문화/아동_저가_등급,Monetary_교육문화/아동_중가_등급,Monetary_식품/생활_고가_등급,Monetary_식품/생활_저가_등급,Monetary_식품/생활_중가_등급,Monetary_의류/이미용_고가_등급,Monetary_의류/이미용_저가_등급,Monetary_의류/이미용_중가_등급,Monetary_침구/주방_고가_등급,Monetary_침구/주방_저가_등급,Monetary_침구/주방_중가_등급
1,8,2,3,5,8,8,8,8,6,1,7,6,4,8,3,8,8,8
2,8,2,6,5,8,6,8,8,5,3,8,2,3,8,5,3,8,5
3,8,7,8,8,8,8,8,8,8,7,5,7,8,8,7,8,8,8
4,8,4,5,7,7,6,8,8,8,7,6,5,5,7,5,8,7,8
6,7,5,6,8,6,8,8,8,8,5,5,6,6,5,5,6,4,8
7,8,4,7,6,8,7,8,6,5,6,7,6,6,8,6,6,6,8
8,8,4,8,8,8,6,8,8,5,2,8,2,4,8,6,7,8,8
9,8,7,8,8,8,2,8,8,8,6,7,7,2,8,1,8,8,8
10,6,8,8,8,7,7,8,8,7,6,3,3,8,8,6,8,6,8
11,4,4,5,8,8,5,8,8,4,3,7,5,2,8,5,3,8,8
12,8,8,8,8,8,8,8,8,8,8,7,7,8,8,8,8,5,8
13,8,5,8,8,5,8,8,6,8,5,5,5,6,6,6,8,6,8
14,8,3,6,6,7,7,8,5,7,4,5,2,5,6,5,8,5,7
15,8,7,6,8,8,7,8,8,8,7,7,6,2,7,5,8,7,8
16,8,6,8,8,8,8,8,8,8,6,8,7,8,8,8,8,8,8
17,3,8,1,8,8,8,8,8,8,7,7,7,3,8,4,8,8,7
18,6,2,1,5,8,7,8,8,6,5,7,5,1,8,4,4,8,6
19,8,5,6,7,8,8,8,8,8,5,7,2,3,8,6,8,8,7
20,8,5,8,6,8,5,8,8,7,2,8,4,8,8,7,8,8,7
21,8,8,7,8,5,7,5,5,7,6,5,3,8,6,7,8,4,5
22,1,8,5,8,8,8,8,8,8,4,8,6,2,8,8,8,8,8
23,6,8,5,3,8,5,8,8,8,2,7,5,5,8,6,8,8,7
24,6,6,8,8,2,7,8,8,8,5,6,6,8,5,8,8,5,8
25,7,5,6,8,8,8,8,8,8,7,7,7,4,7,5,7,8,8
26,4,2,3,5,8,5,8,8,8,4,8,6,6,8,2,6,8,8
27,6,8,5,8,8,5,8,8,8,1,7,6,4,7,7,8,8,8
28,8,7,6,8,8,8,8,7,8,6,5,6,8,6,8,8,5,8
29,3,5,5,4,8,4,8,8,5,5,7,7,2,7,5,5,7,6
