CUSTNO,가구인테리어/잡화_고가,가구인테리어/잡화_저가,가구인테리어/잡화_중가,가전/레저취미/멀티샵_고가,가전/레저취미/멀티샵_저가,가전/레저취미/멀티샵_중가,교육문화/아동_고가,교육문화/아동_저가,교육문화/아동_중가,식품/생활_고가,식품/생활_저가,식품/생활_중가,의류/이미용_고가,의류/이미용_저가,의류/이미용_중가,침구/주방_고가,침구/주방_저가,침구/주방_중가
1,255835.7510444285,21992.00731061693,4584.882736127126,0.0,0.0,87226.16707558109,0.0,0.0,0.0,403533.02941837796,55176.64706118451,905621.5538228574,2008447.9257823203,0.0,4747265.58615696,452038.761567732,0.0,0.0
2,0.0,536165.1382328407,0.0,630160.7726077688,0.0,0.0,0.0,0.0,0.0,125486.58275712993,4982.539918835516,911269.3371431081,3696531.4226418887,173079.11535035848,1663340.2704559786,186285.01277417567,0.0,1708494.7526076774
3,0.0,2199.2007310616927,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,215763.9086452532,94748.33651823708,0.0,0.0,0.0,0.0,0.0,0.0
4,0.0,112291.18932801003,21640.646514520035,0.0,0.0,30927.837633447034,0.0,72312.05022004932,0.0,133130.32301375264,80635.43303046646,687839.8188862434,294473.2846786552,25892.619598975114,532344.1886708332,0.0,0.0,0.0
6,59614.175796292584,141848.44715347918,45390.33908765855,0.0,0.0,0.0,0.0,0.0,0.0,126499.06048378162,111230.22114808406,395197.36809284333,1045624.3165410071,80387.5515456553,892330.1803024655,0.0,0.0,0.0
7,0.0,65976.02193185079,0.0,0.0,0.0,0.0,0.0,1362.4009461748424,0.0,2140424.5721014254,32974.449182853445,611813.4326532352,9638373.871319696,0.0,170475.64391620003,90086.01654018859,8576.71486715974,0.0
8,52137.14357777453,109476.21239225107,355786.900323465,0.0,0.0,1391288.7759406148,0.0,0.0,0.0,2425070.787169811,2531.130278768442,1801923.7635879656,1517906.8124081076,0.0,131904.22215160212,0.0,0.0,0.0
9,4933376.170070989,616974.7690957026,795477.1547180563,57855.19752245982,0.0,670699.1539290802,0.0,0.0,0.0,151848.3300178767,61783.4949935604,487715.6828844521,1790395.4477511647,0.0,13273265.011200717,6894282.845820633,0.0,0.0
10,0.0,22101.96734717001,134795.5524421375,0.0,37807.580009169375,0.0,0.0,0.0,0.0,71783.27108081219,485450.8573081119,1249987.8688747734,193201.65036595258,55799.59882569831,50515.17546719301,71701.11520545623,29110.96592702242,0.0
11,21432811.813406073,110729.75680895623,1480898.7842381173,0.0,0.0,367896.2935991129,0.0,0.0,282821.9813443822,476027.83438543155,10483.263989229927,586135.5801401879,2744578.060102484,0.0,3400037.3609382287,0.0,0.0,0.0
12,0.0,119856.43984286225,0.0,0.0,13509.64941201682,0.0,0.0,0.0,0.0,186060.27900715556,71051.01924259446,377859.77677421237,0.0,10035.8990693702,191392.90083843315,0.0,5036.326753390313,19768.698049107064
13,0.0,92641.3307959738,0.0,0.0,0.0,0.0,0.0,11349.847882364264,0.0,196960.74485457496,349019.9457585415,1500598.9744931855,428599.8150288646,88667.16827788572,0.0,0.0,6731.723878293982,19968.381867784916
