CUSTNO,가구인테리어/잡화_고가,가구인테리어/잡화_저가,가구인테리어/잡화_중가,가전/레저취미/멀티샵_고가,가전/레저취미/멀티샵_저가,가전/레저취미/멀티샵_중가,교육문화/아동_고가,교육문화/아동_저가,교육문화/아동_중가,식품/생활_고가,식품/생활_저가,식품/생활_중가,의류/이미용_고가,의류/이미용_저가,의류/이미용_중가,침구/주방_고가,침구/주방_저가,침구/주방_중가
1,0.0,818290.0438793282,193192.74641815957,5362493.79361085,0.0,44558.89506836275,0.0,0.0,0.0,476926.023985521,62786.8426997599,1659179.2282553827,770000.4764472672,14207.65039419619,3497610.8446939546,6355948.699891901,57778.973802989975,370787.7327817932
2,349551.02687720716,252442.0245747405,0.0,350598.78993795335,28730.484528610406,0.0,0.0,0.0,0.0,370794.5325168983,2490.750662478574,1597236.8476083712,1981999.3053619058,0.0,1127684.151564581,34037.241739057805,0.0,78298.27787034732
3,0.0,743.5585010572768,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51884.476520449556,151828.18998257397,204664.99395321944,0.0,0.0,0.0,0.0,0.0,0.0
4,0.0,85548.36227953722,0.0,0.0,0.0,76965.3642089902,0.0,0.0,0.0,8690.921748393961,55503.88776267255,330218.20836465317,209223.1817539746,58808.88201141967,417491.4229120608,265315.9356070147,20730.47967675928,52765.25864478003
6,0.0,48292.16791077261,0.0,0.0,0.0,0.0,0.0,0.0,0.0,250468.23143419033,252171.5674714508,571815.7248140553,783148.8303673912,154215.95206358522,429209.0216741792,86402.22902991596,50737.55947702928,36488.51784249195
7,6482333.819172567,33264.45925782554,174248.64829180442,8785.736033619207,0.0,250963.79864230417,0.0,9444.28577636002,0.0,221895.87442707986,16807.58547040542,571585.9949114675,3752704.5632274174,0.0,1704956.8127874206,50270.387799223834,0.0,8853.831535310546
8,0.0,65276.609461238826,37610.28772273929,439286.80168096034,0.0,201122.64910401913,0.0,0.0,0.0,2755065.703235871,0.0,1438892.6009262053,1868627.6236856359,0.0,133959.40766153755,3386269.178142161,0.0,8496.100968227292
9,1630478.6111223388,87348.55654525483,0.0,0.0,0.0,595728.1222121544,0.0,0.0,0.0,1258062.5900115713,16419.028367058763,285944.9156171224,2196350.345144729,0.0,11353660.307004824,1061263.7424280588,0.0,0.0
10,0.0,12444.82122822179,0.0,0.0,24612.448412842914,0.0,0.0,0.0,0.0,292995.01085809,549985.642682689,1154024.3457281226,0.0,7598.395305756823,0.0,0.0,12125.593419869814,0.0
11,3786165.389589005,7826.931590076598,0.0,372994.42979092454,0.0,513642.53587894514,0.0,0.0,365428.341076356,1914537.1836045885,7820.957080182724,915701.2743879532,1287034.841192547,0.0,1767032.3704871319,11694.84716162499,0.0,0.0
12,0.0,38351.96479137533,0.0,0.0,0.0,0.0,0.0,0.0,0.0,163158.73119638226,81935.73379289519,51961.30451062421,0.0,0.0,0.0,0.0,0.0,17797.095712391907
13,0.0,39917.35110939065,0.0,0.0,0.0,101351.23223731236,0.0,0.0,0.0,311580.9657911073,365925.1465271123,1372144.948261474,214687.9663520262,33720.68922673146,104934.86933487107,0.0,10075.707999318756,0.0
14,271734.358104474,63828.627117074655,54655.34422762606,87058.6570604085,0.0,46989.38025390981,0.0,0.0,0.0,358113.8359283155,215888.3044209929,1218199.4469491309,96147.33804090743,2248.045948448764,626760.6538922857,0.0,7701.546919019509,0.0
15,0.0,40621.774952497544,157527.81840521714,0.0,0.0,64002.77655273922,0.0,0.0,0.0,185313.51144310166,140614.8305000954,586681.4727040798,57770.58003654523,9981.324011112512,38494.08266136136,17454.995763619387,0.0,0.0
16,0.0,15653.863180153196,0.0,0.0,0.0,0.0,0.0,0.0,0.0,606537.1445981778,0.0,951928.7272291896,187117.511725766,0.0,60820.65060495095,0.0,0.0,12520.569847913905
17,0.0,892191.9319528313,2757130.525842092,0.0,0.0,0.0,0.0,0.0,0.0,1051742.9357893728,10789.931869857184,511651.89825159294,1055812.8197859647,0.0,443659.70030525426,135276.21716805027,0.0,6318416.141107981
18,0.0,124800.42420377136,0.0,0.0,0.0,0.0,0.0,0.0,0.0,166574.18730275985,0.0,316445.00084085175,221056.7002820863,0.0,0.0,0.0,0.0,0.0
19,0.0,55297.271683891166,0.0,895825.5941188456,0.0,0.0,0.0,0.0,0.0,133355.06963117642,7990.328125231266,1757539.6211098323,3198583.622706188,0.0,0.0,0.0,0.0,0.0
20,0.0,99910.78174732777,0.0,0.0,0.0,0.0,0.0,0.0,0.0,795670.7458010241,0.0,997567.6954344993,0.0,0.0,0.0,0.0,0.0,22358.1604427034
21,0.0,0.0,0.0,0.0,0.0,42128.40988281569,58478.03785684528,5939.1900243088785,176660.64458940964,749344.5433899979,203942.66424374568,1071887.9655794576,0.0,74455.28181262307,23096.449596816816,0.0,13422.696058862573,0.0
22,16122905.247532127,0.0,182345.05013162564,0.0,0.0,0.0,0.0,0.0,0.0,40844.06904282769,0.0,1767300.4953119422,5926949.238343938,0.0,0.0,41848.35234327748,0.0,0.0
23,6276862.3875036435,15184.2472847486,449174.2933744292,2883670.2550200117,0.0,317623.9056645748,0.0,69323.00487390035,0.0,5081524.296867593,32399.684617521296,1532464.6603732642,3559916.823873598,0.0,1711369.9269588033,0.0,10828.490780877055,53695.358119196484
24,0.0,45396.20322244427,0.0,0.0,348596.5456138063,19443.881484376474,0.0,0.0,0.0,0.0,132574.68736161457,634753.248817898,0.0,471640.03998455073,0.0,0.0,8917.580643075222,0.0
25,538629.8317875913,74355.85010572767,0.0,0.0,0.0,5671.132099609805,0.0,0.0,0.0,2153.6952517922455,26870.21814681886,434411.83515116625,715968.9595567572,0.0,0.0,0.0,0.0,0.0
26,21443987.319462966,37678.848674628745,0.0,822344.8927467577,0.0,40508.08642578432,0.0,0.0,58318.475337430595,337977.8730489326,5937.949579348921,385491.01119460486,3046144.894444749,11330.151580181771,4975583.449660392,3665941.847764753,0.0,4471.63208854068
27,0.0,10597.665372963713,0.0,135859.42721078428,0.0,110246.8080164146,0.0,0.0,0.0,291347.10767300654,2002.5635326327738,355361.4580718233,1874133.4968896878,0.0,150434.8750406002,0.0,11465.460826810999,0.0
28,0.0,1565.3863180153196,0.0,0.0,0.0,0.0,0.0,0.0,0.0,262788.89108926646,134948.87089308916,613587.3965486158,0.0,189555.23437319978,0.0,0.0,0.0,8853.831535310546
29,671872.2582252489,51266.40191500172,715123.4929389913,2201665.514861184,0.0,633627.4878721182,0.0,0.0,0.0,522495.16988379596,54328.253449982665,324850.7862166383,1538850.4719265236,35950.75080759264,686780.6275778803,531940.9958963009,9728.269792445695,44716.3208854068
30,1344662.3747267618,81165.28058909433,379382.19788105047,0.0,0.0,0.0,0.0,0.0,0.0,288138.31929281104,299734.94212214166,2328628.0443428843,10331935.421827512,3506.951679580072,131210.93015951634,39797.3903410522,28281.47003946713,28618.44536666035
31,0.0,167136.29717449567,45391.72656192673,0.0,0.0,0.0,0.0,0.0,284856.7633075375,206276.14522721287,0.0,550494.2490623749,105679.8946329974,0.0,755022.9373199417,17454.995763619387,0.0,33984.40387290917
32,0.0,2387.2141349733624,0.0,0.0,8619.145358583122,67729.52050391138,0.0,0.0,0.0,617457.902339589,75758.67214994832,1358005.443289307,0.0,325427.1314974431,0.0,0.0,0.0,0.0
