CUSTNO,purchase_sum_증감여부
1,1
2,0
3,0
4,0
6,0
7,1
8,0
9,0
10,1
11,1
12,0
13,0
14,1
15,1
16,0
17,1
18,1
19,0
20,1
21,0
22,1
23,0
24,0
25,0
26,1
27,1
28,0
29,1
30,0
31,0
32,0
33,1
34,1
35,0
36,0
37,0
38,0
39,1
40,0
41,1
42,0
43,1
44,0
45,1
46,1
47,1
48,0
49,0
50,1
51,1
52,1
53,1
54,1
55,0
56,1
57,1
58,1
59,1
60,0
61,1
62,0
63,0
64,1
65,1
66,1
67,0
68,1
69,0
70,1
71,0
72,0
73,1
74,1
75,0
76,1
77,1
78,0
79,0
80,1
81,0
82,0
83,0
84,1
85,0
86,0
87,1
88,0
89,0
90,0
91,0
92,0
93,0
94,0
95,0
96,1
97,1
98,0
99,0
100,0
101,1
102,1
103,1
104,0
105,0
106,1
107,1
108,1
109,1
110,0
111,1
112,0
113,1
114,1
115,0
116,1
117,1
118,0
119,0
120,1
121,1
122,0
123,1
124,1
125,1
126,1
127,1
128,1
129,0
130,1
131,0
132,1
133,0
134,1
135,0
136,0
137,0
138,1
139,0
140,1
141,0
143,0
144,1
145,0
146,1
147,1
148,0
149,1
150,1
151,0
152,1
153,1
154,1
155,0
156,1
157,0
158,0
159,1
160,1
161,1
162,0
163,0
164,1
165,0
166,0
167,0
168,1
169,0
170,0
171,0
172,0
173,1
175,0
176,1
177,1
178,1
179,1
180,1
181,0
182,0
183,1
184,1
185,0
186,1
187,1
188,0
189,0
190,1
191,0
192,0
193,0
194,0
195,0
196,0
197,0
198,0
199,0
200,1
201,0
202,0
203,1
204,0
205,1
206,0
207,0
208,1
209,1
210,0
211,0
212,1
213,0
214,0
215,0
216,1
217,1
218,0
219,1
220,0
221,1
222,0
223,0
224,1
225,1
226,1
227,1
228,0
229,0
230,1
231,1
232,0
233,0
234,0
235,1
236,0
237,0
238,0
239,1
240,1
241,0
242,0
243,0
245,0
246,0
247,1
248,0
249,1
250,0
251,1
252,1
253,1
254,1
255,1
256,0
257,1
258,0
259,1
260,1
261,1
262,1
263,1
264,0
265,1
266,0
267,1
268,1
269,1
270,0
271,0
272,0
273,0
274,0
275,0
276,1
277,0
278,1
279,1
280,1
281,0
282,1
283,1
284,1
285,0
286,1
287,0
288,1
289,0
290,0
291,0
292,1
293,0
294,0
295,0
296,1
297,0
298,0
299,1
300,1
301,1
302,1
303,1
304,0
305,0
306,0
307,1
308,1
309,0
310,1
311,1
312,0
313,1
314,1
315,0
316,1
317,0
318,1
319,1
320,1
321,1
322,0
323,1
324,0
325,1
326,1
327,1
328,0
329,1
330,0
331,1
332,1
333,0
334,0
335,0
336,1
337,0
338,1
339,0
340,1
341,0
342,1
343,1
344,1
345,1
346,0
347,1
348,1
349,1
350,0
351,1
352,0
353,0
354,0
355,0
356,0
357,1
358,0
359,1
360,0
361,0
362,0
363,1
364,0
365,1
366,0
367,1
368,0
369,1
370,1
371,1
372,0
373,0
374,1
375,1
376,0
377,0
378,1
379,0
380,0
381,0
382,1
383,0
384,0
385,0
386,1
387,0
388,1
389,1
390,0
391,1
392,0
393,1
394,1
395,0
396,1
397,0
398,0
399,1
400,1
401,1
402,1
403,0
404,0
405,1
406,0
407,1
408,0
409,1
410,0
411,1
412,1
413,0
414,1
415,0
416,1
417,1
418,0
419,1
420,0
421,0
422,0
423,1
424,0
425,0
426,0
427,0
428,1
429,1
430,0
431,0
432,1
433,1
434,0
435,1
436,1
437,0
438,1
439,0
440,1
441,0
442,0
443,0
444,0
445,0
446,0
447,0
448,0
449,0
450,1
451,1
452,0
453,0
454,0
455,1
456,0
457,1
458,0
459,1
461,0
462,1
463,0
464,1
465,1
466,0
467,1
468,1
469,1
470,0
471,0
472,0
473,1
474,1
475,1
476,0
477,0
478,1
479,0
480,0
481,1
482,0
483,1
484,0
485,0
486,1
487,0
488,0
489,1
490,0
491,0
492,0
493,0
494,0
495,1
496,1
497,1
498,0
499,1
500,1
501,0
502,1
503,0
504,1
505,1
506,1
507,0
508,1
509,1
510,1
511,1
512,0
513,0
514,0
515,1
516,1
517,0
518,1
519,0
520,1
521,1
522,0
523,1
524,1
525,1
526,1
527,0
528,0
529,1
530,0
531,0
532,0
533,1
534,0
535,0
536,0
537,0
538,0
539,0
540,0
541,0
542,0
543,1
544,1
545,0
546,0
547,1
548,1
549,1
550,0
551,0
552,0
553,1
554,1
555,0
556,1
557,1
558,0
559,1
560,0
561,0
562,1
563,0
564,0
565,1
566,1
567,1
568,0
569,0
570,1
571,1
572,0
573,0
574,1
575,0
576,0
577,0
578,1
579,1
580,1
581,0
582,0
583,1
584,1
585,0
586,0
587,0
588,1
589,1
590,0
591,0
592,0
593,0
594,0
595,0
596,1
597,1
598,0
599,1
600,0
601,0
602,0
603,1
604,1
605,1
606,1
607,0
608,0
609,0
610,0
611,1
612,1
613,1
614,0
615,1
616,0
617,0
618,0
619,1
620,0
621,1
622,1
623,0
624,1
625,1
626,0
627,0
628,1
629,0
630,1
631,1
632,0
633,0
634,1
635,1
636,1
637,0
638,1
639,1
640,1
641,0
642,0
643,1
644,0
645,1
646,1
647,0
648,1
649,0
650,1
651,0
652,0
653,0
654,0
655,1
656,0
657,1
658,1
659,1
660,0
661,1
662,1
663,0
664,1
665,0
666,0
667,1
668,1
669,1
670,1
671,1
672,1
673,1
674,1
675,0
676,1
677,0
678,1
679,1
680,0
681,1
682,1
683,1
684,0
685,0
686,1
687,1
688,0
689,1
690,0
691,1
692,0
693,0
694,0
695,0
696,0
697,0
698,0
699,1
700,0
701,0
702,0
703,0
704,0
705,1
706,0
707,0
708,0
709,1
710,1
711,1
712,0
713,1
714,1
715,0
716,0
717,1
718,0
719,0
720,1
721,0
722,0
723,1
724,0
725,0
726,0
727,1
728,1
729,1
730,1
731,1
732,0
733,0
734,0
735,0
736,0
737,0
738,0
739,0
740,0
741,1
742,1
743,1
744,1
745,0
746,0
747,0
748,0
749,1
750,1
751,1
752,1
753,0
754,1
755,0
756,1
757,0
758,0
759,1
760,0
761,0
762,0
763,0
764,0
765,0
766,0
767,1
768,0
769,1
770,1
771,1
772,1
773,1
774,1
775,0
776,0
777,1
778,1
779,0
780,0
781,1
782,1
783,0
784,1
785,0
786,0
787,0
788,1
789,1
790,1
791,1
792,0
793,1
794,0
795,1
796,1
797,1
798,1
799,0
800,0
801,0
802,0
803,1
804,1
805,0
806,0
807,1
808,0
809,0
810,1
811,1
812,0
813,0
814,0
815,1
816,1
817,0
818,0
819,0
820,0
821,0
822,1
823,0
824,1
825,0
826,0
827,1
828,1
829,0
830,0
831,0
832,0
833,1
834,0
835,1
836,0
837,1
838,0
839,1
840,1
841,0
842,1
843,1
844,0
845,0
