CUSTNO,사치품_월별 평균 구매횟수,일용품_월별 평균 구매횟수,선매품_월별 평균 구매횟수,사치품_월별 평균,일용품_월별 평균,선매품_월별 평균,전체 월별 평균구매액,전체 월별 평균구매횟수
1,0.9583333333333334,32.083333333333336,11.0,217308.33333333334,767713.75,2558417.5,3543439.5833333335,44.041666666666664
2,1.875,38.125,6.5,767612.0833333334,1358384.1666666667,2035702.0833333333,4161698.3333333335,46.5
3,0.0,49.625,0.0,0.0,131881.95833333334,0.0,131881.95833333334,49.625
4,0.6363636363636364,34.75,3.4166666666666665,55197.72727272727,370920.8333333333,274056.6666666667,695575.4166666666,38.75
6,1.5,60.791666666666664,4.083333333333333,75620.83333333333,512509.0416666667,432970.8333333333,1021100.7083333334,66.375
7,1.75,26.458333333333332,4.333333333333333,1003683.3333333334,429900.25,1638344.5833333333,3071928.1666666665,32.541666666666664
8,0.3181818181818182,71.375,6.041666666666667,38459.09090909091,938747.5833333334,1624162.9166666667,2598164.6666666665,77.70833333333333
9,4.75,12.375,13.708333333333334,1028389.1666666666,252853.75,7215954.583333333,8497197.5,30.833333333333332
10,0.045454545454545456,140.45833333333334,1.5,16227.272727272728,642231.9583333334,115848.33333333333,772955.2916666666,142.0
11,0.9166666666666666,25.791666666666668,7.458333333333333,2041043.3333333333,790724.125,2544032.9166666665,5375800.375,34.166666666666664
12,0.0,20.333333333333332,0.22727272727272727,0.0,175206.95833333334,100227.27272727272,267081.9583333333,20.541666666666668
13,0.0,119.125,1.0416666666666667,0.0,621875.25,116035.0,737910.25,120.16666666666667
14,2.608695652173913,48.083333333333336,4.083333333333333,298466.52173913043,582829.4166666666,571462.5,1440322.3333333333,54.666666666666664
15,1.4583333333333333,37.375,3.6666666666666665,368822.9166666667,293702.6666666667,383942.9166666667,1046468.5,42.5
16,0.13636363636363635,24.0,1.1304347826086956,6318.181818181818,362056.4583333333,91380.43478260869,455421.0416666667,25.208333333333332
17,0.7727272727272727,31.041666666666668,5.173913043478261,527989.0909090909,3238879.375,2324793.0434782607,5950796.041666667,36.708333333333336
18,2.7083333333333335,22.791666666666668,6.083333333333333,1956419.1666666667,331979.125,1070312.5,3358710.7916666665,31.583333333333332
19,1.2083333333333333,21.25,1.826086956521739,398866.25,792154.1666666666,624516.5217391305,1789515.4166666667,24.208333333333332
20,0.5454545454545454,40.0,3.125,37863.63636363636,587346.25,324716.6666666667,946771.25,43.625
21,0.045454545454545456,91.16666666666667,0.20833333333333334,58181.818181818184,822311.0,71004.16666666667,946648.5,91.41666666666667
22,0.9545454545454546,18.041666666666668,1.7083333333333333,4889334.090909091,470497.9166666667,1118052.9166666667,6070440.416666667,20.625
23,3.375,23.166666666666668,6.083333333333333,1244577.9166666667,460942.5416666667,1570497.5,3276017.9583333335,32.625
24,0.09090909090909091,33.458333333333336,0.5909090909090909,17272.727272727272,404662.8333333333,90384.09090909091,503348.25,34.083333333333336
25,1.8636363636363635,18.666666666666668,5.956521739130435,349274.0909090909,292830.125,1397238.6956521738,1952018.4583333333,26.083333333333332
26,2.0416666666666665,30.958333333333332,9.25,1003668.3333333334,502880.1666666667,3794779.1666666665,5301327.666666667,42.25
27,1.6666666666666667,20.291666666666668,5.041666666666667,695910.8333333334,345225.25,1461406.25,2502542.3333333335,27.0
28,0.0,57.5,0.36363636363636365,0.0,294181.25,73493.18181818182,361550.0,57.833333333333336
29,4.625,21.375,12.583333333333334,1120576.25,378874.625,2082314.5833333333,3581765.4583333335,38.583333333333336
30,3.5416666666666665,88.70833333333333,4.25,2227586.25,1024053.5833333334,1169862.9166666667,4421502.75,96.5
31,0.0,39.166666666666664,2.2916666666666665,0.0,402867.5,161658.33333333334,564525.8333333334,41.458333333333336
32,0.045454545454545456,60.666666666666664,1.1818181818181819,8075.0,699343.2083333334,117386.36363636363,814349.4583333334,61.791666666666664
33,0.045454545454545456,100.0,0.13636363636363635,3636.3636363636365,430970.2083333333,5445.454545454545,439295.2083333333,100.16666666666667
34,0.18181818181818182,37.958333333333336,1.375,21772.727272727272,465605.4166666667,144570.41666666666,630134.1666666666,39.5
35,0.5,35.75,5.166666666666667,223641.66666666666,754180.6666666666,884719.5833333334,1862541.9166666667,41.416666666666664
36,0.09090909090909091,36.541666666666664,3.375,11134.545454545454,652205.125,1150477.5,1812889.2916666667,40.0
37,1.9166666666666667,42.833333333333336,3.4583333333333335,1220369.1666666667,557070.4166666666,754988.3333333334,2532427.9166666665,48.208333333333336
38,0.09090909090909091,109.875,1.7826086956521738,2954.5454545454545,879632.2916666666,106925.21739130435,984810.625,111.66666666666667
39,2.6666666666666665,19.791666666666668,1.4583333333333333,6465234.166666667,319808.0,1869680.4166666667,8654722.583333334,23.916666666666668
40,2.0,29.625,4.208333333333333,420197.82608695654,294790.4166666667,396772.9166666667,1094252.9166666667,35.75
41,0.45454545454545453,28.416666666666668,0.9583333333333334,60836.36363636364,523117.0833333333,198750.0,777633.75,29.791666666666668
42,0.045454545454545456,90.95833333333333,0.5909090909090909,4500.0,593289.6666666666,73204.54545454546,664518.8333333334,91.54166666666667
43,0.0,46.041666666666664,0.18181818181818182,0.0,241900.29166666666,78523.63636363637,313880.2916666667,46.208333333333336
44,1.5,35.625,4.291666666666667,3487724.5833333335,453000.0,662979.1666666666,4603703.75,41.416666666666664
45,7.125,20.625,3.4583333333333335,8103645.416666667,404607.5416666667,1076639.1666666667,9584892.125,31.208333333333332
46,1.5416666666666667,23.166666666666668,3.625,3663539.1666666665,539244.1666666666,1388089.5833333333,5590872.916666667,28.333333333333332
47,0.3181818181818182,70.0,1.1304347826086956,138590.9090909091,647840.25,95223.91304347826,866138.1666666666,71.375
48,1.8333333333333333,20.833333333333332,5.125,580827.5,550040.8333333334,2334700.0,3465568.3333333335,27.791666666666668
49,3.7083333333333335,22.458333333333332,2.25,2063950.4166666667,857498.9166666666,888336.25,3809785.5833333335,28.416666666666668
50,0.2727272727272727,69.875,3.4166666666666665,22850.454545454544,689187.125,340263.3333333333,1050396.7083333333,73.54166666666667
51,0.08333333333333333,73.16666666666667,2.2916666666666665,14291.666666666666,603611.625,307100.0,925003.2916666666,75.54166666666667
52,0.8181818181818182,47.083333333333336,4.291666666666667,180051.36363636365,666452.5,709236.6666666666,1540736.25,52.125
53,2.875,26.958333333333332,1.5833333333333333,1541769.5833333333,507921.3333333333,139835.83333333334,2189526.75,31.416666666666668
54,0.09090909090909091,29.125,2.0416666666666665,10865.90909090909,270859.1666666667,163190.0,444009.5833333333,31.25
55,0.0,39.75,0.045454545454545456,0.0,315547.0416666667,1363.6363636363637,316797.0416666667,39.791666666666664
56,3.2916666666666665,25.958333333333332,2.6666666666666665,2423072.5,878330.5416666666,556180.8333333334,3857583.875,31.916666666666668
57,0.045454545454545456,83.04166666666667,0.13636363636363635,1295.4545454545455,355499.5833333333,80431.81818181818,430416.25,83.20833333333333
58,1.5,19.0,5.25,191995.41666666666,322693.3333333333,590505.4166666666,1105194.1666666667,25.75
59,1.0416666666666667,33.083333333333336,0.9583333333333334,550838.3333333334,434518.4166666667,150757.91666666666,1136114.6666666667,35.083333333333336
60,0.0,58.5,3.130434782608696,0.0,602405.7916666666,697331.7391304348,1270682.0416666667,61.5
61,0.625,65.79166666666667,4.625,56247.916666666664,679582.2083333334,383257.5,1119087.625,71.04166666666667
62,0.782608695652174,37.666666666666664,2.1739130434782608,87200.0,641385.5,164629.13043478262,882721.75,40.5
63,0.2727272727272727,24.708333333333332,0.7727272727272727,13681.818181818182,213899.16666666666,33490.90909090909,257140.83333333334,25.666666666666668
64,0.0,34.125,0.0,0.0,160504.95833333334,0.0,160504.95833333334,34.125
65,0.2727272727272727,34.0,2.2916666666666665,47615.90909090909,440261.8333333333,322489.1666666667,806398.9166666666,36.541666666666664
66,0.3181818181818182,87.33333333333333,1.5416666666666667,29409.090909090908,592829.0,144401.25,764188.5833333334,89.16666666666667
67,0.13636363636363635,82.25,0.045454545454545456,30363.636363636364,417506.125,2272.7272727272725,447422.7916666667,82.41666666666667
68,2.5833333333333335,41.333333333333336,22.333333333333332,1670103.3333333333,557238.9583333334,10409776.25,12637118.541666666,66.25
69,0.0,161.08333333333334,0.0,0.0,655526.1666666666,0.0,655526.1666666666,161.08333333333334
70,1.4583333333333333,23.666666666666668,1.875,915734.5833333334,189237.5,239874.16666666666,1344846.25,27.0
71,0.0,46.375,0.0,0.0,198859.75,0.0,198859.75,46.375
72,0.0,42.708333333333336,0.25,0.0,367580.625,41386.666666666664,408967.2916666667,42.958333333333336
73,9.375,8.75,8.333333333333334,7081720.416666667,635590.8333333334,1958026.6666666667,9675337.916666666,26.458333333333332
74,1.0,22.041666666666668,8.583333333333334,129633.33333333333,323381.25,879814.5833333334,1332829.1666666667,31.625
75,0.0,38.125,0.5217391304347826,0.0,190265.91666666666,25912.17391304348,215098.41666666666,38.625
76,0.6363636363636364,35.208333333333336,2.6666666666666665,71772.72727272728,306953.9166666667,138364.58333333334,511110.1666666667,38.458333333333336
