CUSTNO,Recency_가구인테리어/잡화_고가,Recency_가구인테리어/잡화_저가,Recency_가구인테리어/잡화_중가,Recency_가전/레저취미/멀티샵_고가,Recency_가전/레저취미/멀티샵_저가,Recency_가전/레저취미/멀티샵_중가,Recency_교육문화/아동_고가,Recency_교육문화/아동_저가,Recency_교육문화/아동_중가,Recency_식품/생활_고가,Recency_식품/생활_저가,Recency_식품/생활_중가,Recency_의류/이미용_고가,Recency_의류/이미용_저가,Recency_의류/이미용_중가,Recency_침구/주방_고가,Recency_침구/주방_저가,Recency_침구/주방_중가
1,35,5,3,66,-2757,31,-2757,-2757,-2757,16,21,3,35,-2757,11,33,44,11
2,6,16,14,1,33,-2757,-2757,-2757,19,4,-2757,4,1,-2757,19,6,-2757,-2757
3,-2757,65,-2757,-2757,-2757,-2757,-2757,-2757,-2757,85,1,2,-2757,-2757,-2757,-2757,-2757,-2757
4,-2757,8,-2757,-2757,-2757,2,-2757,-2757,-2757,12,11,2,18,11,2,37,-2757,-2757
6,-2757,6,-2757,-2757,-2757,-2757,-2757,-2757,-2757,20,1,1,14,32,5,8,59,58
7,-2757,54,-2757,25,-2757,3,-2757,75,-2757,5,13,11,3,46,16,82,13,82
8,38,10,-2757,71,-2757,57,-2757,-2757,-2757,2,-2757,2,8,-2757,18,48,-2757,-2757
9,31,-2757,82,4,-2757,4,-2757,-2757,-2757,-2757,36,2,4,-2757,4,4,-2757,-2757
10,-2757,43,-2757,-2757,-2757,-2757,-2757,-2757,-2757,6,1,1,73,4,38,-2757,4,80
11,-2757,-2757,-2757,-2757,-2757,-2757,-2757,-2757,50,73,18,9,1,-2757,-2757,-2757,-2757,11
12,-2757,-2757,-2757,-2757,-2757,-2757,-2757,-2757,-2757,33,5,5,-2757,54,-2757,-2757,43,-2757
13,-2757,26,3,-2757,-2757,-2757,-2757,26,-2757,40,2,2,66,37,3,-2757,57,66
14,20,9,84,34,-2757,63,-2757,-2757,-2757,2,2,2,9,-2757,15,81,2,60
15,-2757,19,18,-2757,-2757,14,-2757,-2757,-2757,17,1,2,87,17,4,-2757,17,-2757
16,-2757,1,-2757,-2757,-2757,-2757,-2757,-2757,-2757,1,32,1,83,70,15,77,-2757,-2757
17,-2757,1,31,-2757,-2757,-2757,-2757,-2757,-2757,10,2,2,31,-2757,56,26,-2757,-2757
18,-2757,26,20,-2757,62,-2757,-2757,33,-2757,26,-2757,9,9,-2757,-2757,-2757,-2757,66
19,-2757,1,-2757,-2757,-2757,-2757,-2757,-2757,-2757,1,-2757,1,1,-2757,15,33,-2757,33
20,82,2,-2757,34,-2757,13,-2757,-2757,-2757,2,-2757,1,-2757,-2757,28,-2757,-2757,-2757
21,-2757,61,-2757,-2757,-2757,-2757,-2757,61,-2757,3,1,1,55,9,-2757,-2757,21,-2757
22,5,-2757,-2757,47,-2757,-2757,-2757,-2757,-2757,3,-2757,3,6,-2757,-2757,-2757,-2757,-2757
23,-2757,32,24,5,-2757,-2757,-2757,-2757,-2757,5,-2757,1,31,-2757,20,32,-2757,-2757
24,-2757,1,-2757,-2757,11,-2757,-2757,-2757,-2757,3,7,1,-2757,7,-2757,-2757,-2757,-2757
25,64,22,2,-2757,-2757,14,-2757,-2757,-2757,59,74,9,13,27,9,-2757,-2757,-2757
26,7,33,17,10,-2757,34,-2757,-2757,-2757,28,-2757,4,15,75,17,15,-2757,-2757
27,19,-2757,-2757,-2757,-2757,-2757,-2757,-2757,-2757,4,-2757,4,1,-2757,-2757,-2757,-2757,-2757
28,-2757,-2757,-2757,-2757,-2757,-2757,-2757,-2757,-2757,33,36,33,-2757,43,-2757,-2757,-2757,-2757
29,47,10,15,5,-2757,3,-2757,-2757,3,6,2,6,18,11,18,5,19,5
30,-2757,6,53,-2757,-2757,72,-2757,-2757,-2757,28,8,4,4,84,-2757,25,8,-2757
31,-2757,4,-2757,-2757,-2757,24,-2757,-2757,52,3,-2757,3,69,-2757,11,-2757,-2757,-2757
32,-2757,39,-2757,-2757,11,2,-2757,-2757,-2757,5,1,1,-2757,13,-2757,-2757,7,-2757
33,-2757,-2757,-2757,-2757,-2757,-2757,-2757,-2757,-2757,2,1,1,-2757,25,-2757,-2757,-2757,-2757
34,-2757,16,3,-2757,-2757,-2757,-2757,-2757,-2757,13,-2757,3,-2757,-2757,5,81,-2757,81
35,-2757,11,18,-2757,61,53,-2757,-2757,-2757,18,12,6,32,52,18,26,-2757,-2757
36,-2757,12,-2757,-2757,-2757,34,-2757,-2757,-2757,2,-2757,2,-2757,-2757,-2757,-2757,-2757,-2757
37,-2757,7,-2757,-2757,-2757,-2757,-2757,-2757,-2757,9,-2757,5,14,-2757,-2757,-2757,-2757,-2757
38,-2757,27,49,-2757,34,-2757,27,37,49,4,1,1,49,7,56,60,1,40
