CUSTNO,Recency_가구인테리어/잡화_고가,Recency_가구인테리어/잡화_저가,Recency_가구인테리어/잡화_중가,Recency_가전/레저취미/멀티샵_고가,Recency_가전/레저취미/멀티샵_저가,Recency_가전/레저취미/멀티샵_중가,Recency_교육문화/아동_고가,Recency_교육문화/아동_저가,Recency_교육문화/아동_중가,Recency_식품/생활_고가,Recency_식품/생활_저가,Recency_식품/생활_중가,Recency_의류/이미용_고가,Recency_의류/이미용_저가,Recency_의류/이미용_중가,Recency_침구/주방_고가,Recency_침구/주방_저가,Recency_침구/주방_중가
1,-2482,2,5,14,-2482,-2482,-2482,-2482,-2482,2,43,2,30,-2482,2,72,-2482,77
2,-2482,12,-2482,75,-2482,-2482,-2482,-2482,-2482,12,-2482,2,7,-2482,8,-2482,-2482,12
3,-2482,24,-2482,-2482,-2482,-2482,-2482,-2482,-2482,-2482,4,4,-2482,24,-2482,-2482,-2482,-2482
4,-2482,4,-2482,-2482,-2482,-2482,-2482,-2482,-2482,13,9,1,-2482,20,1,-2482,-2482,14
6,77,14,38,46,1,-2482,-2482,35,-2482,12,1,1,2,8,14,-2482,53,-2482
7,55,34,-2482,-2482,-2482,-2482,-2482,-2482,-2482,1,47,1,-2482,-2482,8,-2482,-2482,17
8,21,34,34,-2482,-2482,41,-2482,-2482,-2482,9,-2482,2,17,-2482,22,62,-2482,9
9,58,21,58,-2482,-2482,21,-2482,-2482,-2482,35,-2482,6,8,-2482,1,-2482,-2482,-2482
10,-2482,-2482,-2482,-2482,-2482,-2482,-2482,-2482,-2482,1,1,1,-2482,7,89,-2482,36,7
11,14,54,48,-2482,-2482,5,-2482,-2482,19,1,-2482,1,5,-2482,5,63,-2482,-2482
12,-2482,-2482,-2482,-2482,-2482,-2482,-2482,-2482,-2482,-2482,3,2,61,35,-2482,-2482,-2482,-2482
13,82,82,-2482,-2482,42,-2482,-2482,-2482,-2482,6,2,2,-2482,2,-2482,-2482,39,62
14,51,8,2,84,41,-2482,-2482,-2482,-2482,49,36,1,57,-2482,36,-2482,41,26
15,-2482,17,-2482,-2482,-2482,47,-2482,-2482,-2482,1,13,1,14,25,14,51,-2482,-2482
16,-2482,29,-2482,80,-2482,-2482,-2482,-2482,16,1,72,1,-2482,-2482,36,-2482,-2482,8
17,9,52,41,-2482,-2482,-2482,-2482,-2482,-2482,7,7,7,9,7,17,63,-2482,9
18,-2482,2,-2482,-2482,-2482,21,-2482,-2482,-2482,2,-2482,2,56,-2482,-2482,-2482,-2482,-2482
19,7,2,-2482,-2482,-2482,-2482,-2482,-2482,-2482,2,-2482,2,6,-2482,-2482,13,-2482,13
20,-2482,23,-2482,35,-2482,6,-2482,-2482,-2482,3,77,2,6,80,31,-2482,-2482,-2482
21,-2482,35,-2482,-2482,12,-2482,30,55,8,17,3,1,-2482,13,65,-2482,23,-2482
22,75,-2482,-2482,-2482,-2482,-2482,-2482,-2482,-2482,-2482,-2482,2,14,-2482,-2482,-2482,-2482,-2482
23,40,40,-2482,56,-2482,56,-2482,-2482,-2482,29,-2482,35,14,-2482,62,-2482,-2482,35
24,-2482,-2482,-2482,-2482,11,-2482,-2482,-2482,-2482,3,21,1,-2482,10,61,-2482,-2482,47
25,12,3,3,63,-2482,-2482,-2482,-2482,-2482,12,11,1,16,-2482,3,-2482,-2482,-2482
26,49,7,-2482,13,-2482,13,-2482,-2482,57,6,12,7,6,-2482,9,71,-2482,17
27,-2482,-2482,41,-2482,-2482,-2482,-2482,-2482,-2482,14,57,6,14,-2482,-2482,-2482,-2482,-2482
28,-2482,-2482,-2482,-2482,-2482,-2482,-2482,-2482,-2482,8,1,1,24,4,-2482,-2482,-2482,-2482
29,-2482,29,54,21,-2482,5,-2482,-2482,59,6,4,4,6,4,14,-2482,84,54
30,-2482,48,4,-2482,-2482,-2482,-2482,-2482,-2482,4,1,1,38,-2482,4,-2482,17,-2482
31,-2482,4,-2482,-2482,-2482,-2482,-2482,-2482,12,12,83,4,26,-2482,10,26,-2482,76
32,-2482,-2482,64,-2482,39,75,-2482,-2482,-2482,6,2,2,-2482,17,63,37,-2482,-2482
33,-2482,-2482,-2482,-2482,-2482,-2482,-2482,-2482,-2482,12,1,1,-2482,1,55,-2482,42,-2482
34,-2482,9,-2482,-2482,-2482,-2482,-2482,-2482,-2482,9,-2482,9,-2482,-2482,-2482,83,-2482,-2482
35,-2482,19,26,-2482,-2482,48,-2482,-2482,-2482,7,12,7,7,15,19,-2482,-2482,-2482
36,-2482,1,-2482,-2482,-2482,6,-2482,-2482,90,3,-2482,1,70,-2482,87,85,-2482,80
37,-2482,40,67,55,-2482,-2482,-2482,-2482,-2482,11,1,1,16,-2482,34,-2482,74,-2482
38,-2482,7,50,-2482,-2482,-2482,-2482,33,7,1,1,1,-2482,26,68,16,8,29
39,-2482,14,1,-2482,-2482,-2482,-2482,-2482,-2482,14,71,1,8,-2482,9,-2482,-2482,91
40,-2482,38,-2482,-2482,44,45,-2482,-2482,-2482,1,1,1,26,65,8,18,1,-2482
41,-2482,14,-2482,-2482,-2482,63,-2482,-2482,-2482,8,3,3,63,-2482,-2482,-2482,-2482,-2482
42,-2482,24,-2482,-2482,6,-2482,-2482,79,-2482,6,4,1,-2482,24,26,-2482,59,-2482
43,-2482,5,-2482,-2482,-2482,-2482,-2482,72,-2482,5,1,1,-2482,11,-2482,-2482,31,-2482
44,32,28,-2482,-2482,45,12,-2482,-2482,-2482,8,6,1,-2482,52,12,-2482,45,-2482
45,8,14,-2482,14,-2482,63,-2482,-2482,-2482,1,81,1,5,78,42,-2482,81,14
46,7,10,-2482,-2482,-2482,1,-2482,-2482,-2482,4,6,1,11,-2482,1,4,-2482,-2482
47,-2482,20,-2482,-2482,13,2,69,69,7,2,2,1,57,2,67,-2482,53,69
48,-2482,17,12,-2482,-2482,20,-2482,-2482,-2482,20,-2482,12,20,-2482,19,33,49,-2482
49,59,2,66,-2482,-2482,-2482,-2482,-2482,-2482,8,-2482,1,2,-2482,24,-2482,-2482,-2482
50,-2482,4,89,-2482,4,21,-2482,7,4,3,4,3,80,-2482,20,21,-2482,29
51,-2482,4,-2482,-2482,-2482,14,-2482,-2482,62,1,1,1,-2482,8,2,5,4,-2482
52,-2482,20,-2482,-2482,22,-2482,-2482,-2482,-2482,47,-2482,2,28,-2482,-2482,-2482,-2482,-2482
53,-2482,37,-2482,10,-2482,21,-2482,-2482,-2482,36,2,1,33,-2482,-2482,-2482,2,-2482
54,51,8,-2482,-2482,-2482,-2482,-2482,-2482,-2482,14,-2482,3,8,-2482,-2482,-2482,-2482,-2482
55,-2482,39,-2482,-2482,-2482,-2482,-2482,-2482,-2482,16,2,2,-2482,57,-2482,-2482,81,-2482
56,19,7,28,-2482,-2482,-2482,-2482,-2482,7,5,-2482,1,51,-2482,7,-2482,-2482,15
57,-2482,17,-2482,-2482,84,-2482,-2482,-2482,-2482,3,3,3,-2482,26,-2482,-2482,45,-2482
58,1,4,-2482,-2482,-2482,63,-2482,-2482,-2482,2,-2482,4,19,-2482,5,36,-2482,14
59,-2482,-2482,-2482,-2482,-2482,-2482,-2482,-2482,-2482,2,28,2,20,-2482,10,-2482,-2482,40
60,-2482,62,-2482,-2482,6,-2482,-2482,56,23,2,2,6,82,25,82,-2482,-2482,-2482
61,66,18,-2482,-2482,-2482,-2482,-2482,-2482,-2482,34,25,12,40,12,16,15,61,28
62,89,11,86,-2482,-2482,27,-2482,-2482,55,12,11,10,-2482,12,12,-2482,-2482,-2482
63,-2482,2,-2482,-2482,-2482,-2482,-2482,-2482,-2482,7,-2482,2,66,-2482,-2482,-2482,-2482,-2482
64,-2482,54,12,-2482,-2482,-2482,-2482,-2482,-2482,69,2,1,-2482,31,-2482,-2482,43,-2482
65,23,60,-2482,-2482,-2482,27,-2482,-2482,-2482,17,15,15,26,15,26,17,25,26
66,-2482,-2482,-2482,-2482,-2482,-2482,-2482,-2482,-2482,2,1,1,60,33,33,-2482,6,8
67,-2482,-2482,-2482,-2482,-2482,-2482,-2482,84,-2482,2,2,1,-2482,11,-2482,-2482,-2482,-2482
68,26,77,3,-2482,-2482,-2482,-2482,-2482,-2482,2,2,2,-2482,-2482,26,32,38,-2482
69,-2482,16,-2482,-2482,64,-2482,-2482,-2482,-2482,1,1,1,-2482,24,-2482,-2482,46,-2482
70,16,-2482,76,-2482,-2482,62,-2482,-2482,-2482,-2482,-2482,32,-2482,-2482,38,-2482,-2482,-2482
71,-2482,-2482,-2482,-2482,-2482,-2482,-2482,-2482,-2482,63,17,2,-2482,-2482,-2482,-2482,-2482,-2482
72,-2482,25,-2482,-2482,-2482,-2482,-2482,25,-2482,11,7,7,-2482,8,87,-2482,37,-2482
73,5,-2482,62,42,-2482,13,-2482,-2482,-2482,4,-2482,69,13,-2482,42,62,-2482,-2482
74,21,58,3,-2482,-2482,-2482,-2482,-2482,-2482,3,77,3,3,58,3,-2482,-2482,42
75,-2482,13,-2482,-2482,-2482,-2482,-2482,-2482,-2482,3,1,1,-2482,-2482,-2482,-2482,-2482,-2482
76,-2482,9,-2482,-2482,-2482,78,-2482,-2482,-2482,2,24,2,49,-2482,19,63,-2482,36
77,20,9,63,59,-2482,63,-2482,-2482,57,2,14,2,23,14,2,9,14,14
78,54,26,24,2,-2482,77,-2482,-2482,-2482,31,38,3,28,33,28,28,88,49
79,-2482,-2482,-2482,-2482,16,-2482,-2482,42,-2482,17,2,2,85,75,-2482,-2482,-2482,-2482
