CUSTNO,Monetary_침구/주방_중가_증감여부_q2_q1,Monetary_침구/주방_중가_증감여부_q3_q2,Monetary_침구/주방_중가_증감여부_q4_q3,Monetary_침구/주방_중가_증감여부_q5_q4,Monetary_침구/주방_중가_증감여부_q6_q5,Monetary_침구/주방_중가_증감여부_q7_q6,Monetary_침구/주방_중가_증감여부_q8_q7,Monetary_침구/주방_중가_q2_q1_로그변환,Monetary_침구/주방_중가_q3_q2_로그변환,Monetary_침구/주방_중가_q4_q3_로그변환,Monetary_침구/주방_중가_q5_q4_로그변환,Monetary_침구/주방_중가_q6_q5_로그변환,Monetary_침구/주방_중가_q7_q6_로그변환,Monetary_침구/주방_중가_q8_q7_로그변환
1,1,4,2,2,1,0,4,-13.110342615859892,14.136153117893762,-13.822709784265289,-11.14291658668144,-12.6172444824729,0.0,13.34600925255124
2,2,4,1,1,4,1,3,-10.228890324647406,14.73273592616333,-14.747350608180808,-11.268293659335438,14.3511238644985,-14.291971727874012,12.572997794398253
3,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,1,4,2,1,0,0,4,-10.828701078982723,11.570704472352089,-10.88149077723804,-10.873627224602178,0.0,0.0,10.78507558202815
6,1,0,4,3,1,4,1,-10.512855492119794,0.0,10.504780315928341,10.299721795239954,-11.100630074850963,10.592597243764773,-10.592597243764773
7,0,4,1,4,1,0,4,0.0,10.893695810230668,-10.714019211221437,10.504986490428605,-10.722184713605005,0.0,11.339909273683409
8,0,0,4,1,0,0,4,0.0,0.0,9.04748032174185,-9.04748032174185,0.0,0.0,10.644112345544142
9,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,0,4,1,4,1,4,3,0.0,11.973452745487613,-11.973452745487613,9.219342452757022,-9.219342452757022,9.75430099806557,11.129935951019599
11,1,0,0,4,1,0,0,-9.878001326598142,0.0,0.0,10.569774278223521,-10.569774278223521,0.0,0.0
12,0,0,4,1,4,1,0,0.0,0.0,9.786846748107253,-9.786846748107253,9.891905642861737,-9.891905642861737,0.0
13,0,0,0,4,3,3,2,0.0,0.0,0.0,9.260160483116152,9.154781345278847,8.098428517104567,-9.435542586480604
14,1,1,0,4,1,0,4,-12.279739313416956,-9.463478071898354,0.0,9.522502791945186,-9.522502791945186,0.0,9.098767731752211
15,0,0,0,0,4,3,1,0.0,0.0,0.0,0.0,9.208858367739445,9.148185468916216,-9.872077584314834
16,0,0,4,1,0,4,3,0.0,0.0,9.435208024007341,-9.435208024007341,0.0,11.576783461224924,12.26969763493963
17,2,1,4,1,0,0,4,-10.669858178440457,-9.10350897960974,15.65897928239828,-15.65897928239828,0.0,0.0,12.194012321268422
18,4,1,1,4,2,1,0,11.162650727793935,-10.996793641955021,-9.284332194899545,10.512855492119794,-8.829489421900005,-10.30740388863844,0.0
19,1,1,0,4,1,0,4,-12.054670172851957,-9.57416503515123,0.0,11.16843606813733,-11.16843606813733,0.0,10.615344971181766
