CUSTNO,D-Recency,Frequancy,Monetary,Recency
1,5,259,21565315,20140926
2,4,294,25040940,20140927
3,1,455,1196621,20140930
4,1,262,6166873,20140930
6,2,370,6278557,20140929
7,5,188,7553891,20140926
8,1,486,12263770,20140930
9,1,194,40814910,20140930
10,1,802,4838787,20140930
11,2,218,46746544,20140929
12,1,85,677490,20140930
13,1,597,3809266,20140930
14,4,444,10113507,20140927
15,1,254,8388521,20140930
16,5,100,1710920,20140926
17,1,121,30062270,20140930
18,3,346,33422674,20140928
19,2,135,7218660,20140929
20,3,298,5530190,20140928
21,1,529,5266986,20140930
22,4,89,42900160,20140927
23,3,215,15196420,20140928
24,2,206,3716253,20140929
25,1,131,5730580,20140930
26,3,214,25452310,20140928
27,9,173,10948736,20140922
28,2,428,1964685,20140929
29,5,222,24233334,20140926
30,4,654,24443493,20140927
31,3,213,3084710,20140928
32,1,385,5436771,20140930
33,2,591,2630041,20140929
34,1,339,4801490,20140930
35,4,221,12737018,20140927
36,1,301,13962884,20140930
37,4,282,11156760,20140927
38,1,659,5450047,20140930
39,1,149,50766890,20140930
40,1,216,6164055,20140930
41,1,146,4307610,20140930
42,1,520,3711046,20140930
43,2,177,1142683,20140929
44,2,332,7021276,20140929
45,5,157,16169733,20140926
46,4,132,17139720,20140927
47,6,565,8930405,20140925
48,1,161,24704320,20140930
49,3,190,21710290,20140928
50,3,434,7409270,20140928
51,1,527,5218633,20140930
52,1,302,8127270,20140930
53,1,218,17420036,20140930
54,3,185,3030410,20140928
55,1,213,2023280,20140930
56,1,154,15755720,20140930
57,5,528,2397574,20140926
58,7,146,5432580,20140924
59,4,206,7832339,20140927
60,1,368,6403905,20140930
61,1,384,6955916,20140930
62,4,267,7552135,20140927
63,1,167,1517610,20140930
64,1,303,1295929,20140930
65,3,206,5904166,20140928
66,1,509,3855453,20140930
67,2,386,2285953,20140929
68,1,535,86888795,20140930
69,1,981,4052869,20140930
70,2,273,10515590,20140929
71,2,292,1212839,20140929
72,4,218,2387178,20140927
73,4,201,68656490,20140927
74,1,247,15719110,20140930
75,2,225,1461651,20140929
76,3,231,2649519,20140928
77,5,309,9221971,20140926
78,1,199,15919686,20140930
79,4,466,4178000,20140927
80,1,356,1988416,20140930
81,1,174,13915510,20140930
82,1,325,43874480,20140930
83,1,311,37355119,20140930
84,4,103,6431770,20140927
85,2,137,1608590,20140929
86,4,482,9216806,20140927
87,10,169,10743450,20140921
88,3,359,14359723,20140928
89,5,501,5231806,20140926
90,14,160,6814802,20140917
91,1,213,4922388,20140930
92,3,504,11065548,20140928
93,3,190,27238290,20140928
94,2,194,6753691,20140929
95,1,296,1650271,20140930
96,1,256,15082010,20140930
