CUSTNO,D-Recency,Frequancy,Monetary,Recency
1,1,238,19925355,20140630
2,1,339,24323230,20140630
3,1,348,851215,20140630
4,2,270,5042106,20140629
6,1,384,5281290,20140630
7,4,193,13478195,20140627
8,3,385,11695382,20140628
9,1,128,38267420,20140630
10,1,874,5130926,20140630
11,2,236,27424075,20140629
12,2,101,1195494,20140629
13,1,565,3914524,20140630
14,1,390,9504113,20140630
15,2,278,9616578,20140629
16,5,77,1268460,20140626
17,5,152,49998701,20140626
18,2,334,62432272,20140629
19,2,174,10807580,20140629
20,2,297,6405990,20140629
21,2,427,4571031,20140629
22,1,128,43445550,20140630
23,2,216,14303324,20140629
24,2,209,2888396,20140629
25,6,111,4135322,20140625
26,3,263,31182747,20140628
27,3,177,20595916,20140628
28,1,432,2058196,20140630
29,3,176,25589460,20140628
30,1,571,20517736,20140630
31,1,212,2509860,20140630
32,1,308,3786552,20140630
33,1,581,2914228,20140630
34,1,335,4965030,20140630
35,3,248,9047898,20140628
36,1,241,13537344,20140630
37,2,195,5239520,20140629
38,1,557,4722519,20140630
39,3,136,114397170,20140628
40,1,253,6548869,20140630
41,1,148,4962620,20140630
42,1,395,3504075,20140630
43,1,250,1788554,20140630
44,1,175,7833010,20140630
45,1,147,27844323,20140630
46,1,132,37079440,20140630
47,6,636,7101446,20140625
48,2,165,15716980,20140629
49,3,188,20619754,20140628
50,3,453,7439260,20140628
51,3,658,7273495,20140628
52,1,252,11793500,20140630
53,2,151,18208531,20140629
54,3,175,3144670,20140628
55,2,234,1665337,20140629
56,3,193,28310840,20140628
57,2,543,2614348,20140629
58,4,145,6112640,20140627
59,4,180,8429690,20140627
60,3,295,6094847,20140628
61,12,536,10444883,20140619
62,1,244,5723834,20140630
63,1,157,1312450,20140630
64,4,321,1310557,20140627
65,3,191,3804791,20140628
66,4,511,4999811,20140627
67,3,314,1936991,20140628
68,1,439,134454974,20140630
69,2,778,3370799,20140629
70,1,288,6683440,20140630
71,1,272,1159581,20140630
72,4,145,1702370,20140627
73,2,193,59122820,20140629
74,4,215,13677700,20140627
75,1,205,1274322,20140630
76,2,274,2882866,20140629
77,4,210,9368211,20140627
78,2,181,16137792,20140629
79,6,463,3856113,20140625
80,1,372,1821909,20140630
81,1,188,14993920,20140630
82,3,235,24029720,20140628
83,1,188,16151760,20140630
84,12,137,11494220,20140619
85,1,110,1698480,20140630
86,3,477,7576952,20140628
87,1,189,28521810,20140630
88,1,368,13055717,20140630
89,2,421,4307388,20140629
90,1,107,6159990,20140630
91,2,198,4707878,20140629
92,2,491,10905478,20140629
93,3,205,20975520,20140628
94,5,42,470651,20140626
95,3,350,1971512,20140628
96,2,210,13744600,20140629
97,2,424,257426778,20140629
98,1,239,4381072,20140630
99,1,317,39262123,20140630
100,1,156,7121874,20140630
101,1,192,1950107,20140630
102,2,680,50281258,20140629
103,3,242,1159673,20140628
104,1,638,3754752,20140630
105,1,697,5329623,20140630
106,1,198,19973640,20140630
107,2,214,20054481,20140629
108,1,174,3335520,20140630
109,1,402,3162914,20140630
110,2,375,5533636,20140629
111,1,375,1062160,20140630
112,1,127,18490950,20140630
113,1,421,23250862,20140630
114,1,254,6212805,20140630
115,10,174,11009220,20140621
116,1,433,2226518,20140630
117,20,272,7851284,20140611
118,3,138,16895220,20140628
119,2,269,18417122,20140629
120,2,289,76539640,20140629
121,40,161,4421610,20140522
122,5,193,7085737,20140626
123,1,430,2542410,20140630
124,3,147,10585300,20140628
125,2,262,5086070,20140629
126,4,305,4958434,20140627
127,1,136,1794470,20140630
128,2,198,2223210,20140629
