CUSTNO,D-Recency,Frequancy,Monetary,Recency
1,1,356,34116312,20141231
2,1,271,21922100,20141231
3,2,391,1042554,20141230
4,1,172,4257510,20141231
6,2,365,6114089,20141230
7,3,195,20933292,20141229
8,2,453,18151180,20141230
9,8,209,39862250,20141224
10,5,834,4224924,20141227
11,1,235,44651084,20141231
12,13,115,831732,20141219
13,2,708,4248115,20141230
14,1,372,8041574,20141231
15,1,242,4130611,20141231
16,2,152,2944120,20141230
17,4,140,20089530,20141228
18,4,203,12947662,20141228
19,1,134,9294660,20141231
20,6,302,4268990,20141226
21,1,578,5414334,20141231
22,4,101,40323380,20141228
23,9,301,32335677,20141223
24,1,235,3643337,20141231
25,1,117,4850080,20141231
26,1,193,51131580,20141231
27,1,133,7906760,20141231
28,3,359,1823448,20141229
29,5,229,18232790,20141227
30,2,634,29935419,20141230
31,1,228,4271680,20141231
32,1,402,5353747,20141231
33,2,524,2207566,20141230
34,3,312,4155550,20141229
35,7,178,10748684,20141225
36,8,218,11176979,20141224
37,3,344,25238100,20141229
38,1,739,6005414,20141231
39,2,139,24750450,20141230
40,2,183,4053864,20141230
41,1,137,4149840,20141231
42,1,510,3044198,20141231
43,1,183,2646626,20141231
44,1,342,54814286,20141231
45,1,205,61464816,20141231
46,1,144,11367170,20141231
47,3,382,7096524,20141229
48,4,164,23230910,20141228
49,2,157,14825410,20141230
50,1,389,6596010,20141231
51,2,470,6978319,20141230
52,2,332,8038450,20141230
53,2,233,19617916,20141230
54,1,184,2807450,20141231
55,1,243,2484157,20141231
56,3,173,12100960,20141229
57,2,487,2206643,20141230
58,1,152,7459770,20141231
59,2,250,6119358,20141230
60,1,399,6785239,20141231
61,3,343,5300518,20141229
62,1,237,6215190,20141231
63,2,137,1465930,20141230
64,1,265,1380543,20141231
65,1,196,5028865,20141231
66,1,555,4285668,20141231
67,1,434,2803406,20141231
68,1,483,62551366,20141231
69,2,1033,4171335,20141230
70,3,240,12990960,20141229
71,3,293,1176575,20141229
72,1,277,2914007,20141231
73,8,175,63912720,20141224
74,8,190,9801000,20141224
75,1,272,1506524,20141231
76,2,201,3212068,20141230
77,3,339,8311825,20141229
78,2,255,19520260,20141230
79,5,546,4549828,20141227
80,1,475,2684343,20141231
81,1,152,14094768,20141231
82,2,355,44198016,20141230
83,1,312,36180229,20141231
84,2,100,5567280,20141230
85,1,223,2862400,20141231
86,5,470,10028915,20141227
87,2,113,6072030,20141230
88,1,385,13988663,20141231
89,1,435,3777259,20141231
90,4,182,29031812,20141228
91,3,242,4738530,20141229
92,2,478,15299130,20141230
93,1,105,28301330,20141231
94,1,402,17417270,20141231
95,5,260,2029445,20141227
96,1,224,8206880,20141231
97,1,377,248380354,20141231
98,2,228,6825069,20141230
99,3,334,83788648,20141229
100,1,292,15554964,20141231
101,1,182,1364196,20141231
102,1,720,28015666,20141231
103,3,216,1232752,20141229
104,2,538,4855008,20141230
105,1,658,6670173,20141231
106,1,206,13649200,20141231
107,1,208,36525210,20141231
